outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
capability_failure,jais-8b,MENA,-8.012820512820198e-4,-0.012019230769230737,0.012820512820512844,624,-0.08012820512820198,-1.2019230769230738,1.2820512820512844,exploratory model heterogeneity
capability_failure,sarvam-30b,India,-0.0032362459546925416,-0.007706310679611634,0,618,-0.32362459546925415,-0.7706310679611634,0,exploratory model heterogeneity
capability_failure,claude-opus-4.5,US,8.012820512820536e-4,0,0.00240384615384616,624,0.08012820512820537,0,0.240384615384616,exploratory model heterogeneity
capability_failure,gemini-2.5-flash-lite,US,-0.0016025641025641073,-0.004807692307692313,0.001602564102564107,624,-0.16025641025641074,-0.48076923076923134,0.16025641025641071,exploratory model heterogeneity
capability_failure,gpt-4o,US,0.003210272873194238,8.025682182985596e-4,0.006420545746388456,623,0.3210272873194238,0.08025682182985595,0.6420545746388456,exploratory model heterogeneity
capability_failure,gpt-5.1,US,8.012820512820537e-4,0,0.00240384615384616,624,0.08012820512820537,0,0.240384615384616,exploratory model heterogeneity
capability_failure,grok-4.3,US,-8.012820512820537e-4,-0.002403846153846161,0,624,-0.08012820512820537,-0.24038461538461608,0,exploratory model heterogeneity
capability_failure,llama-4-scout,US,-0.0016025641025641066,-0.004807692307692318,8.012820512820539e-4,624,-0.16025641025641066,-0.48076923076923184,0.08012820512820538,exploratory model heterogeneity
capability_failure,nova-lite,US,-0.004006410256410251,-0.012019230769230768,0.005228365384615356,624,-0.4006410256410251,-1.2019230769230769,0.5228365384615355,exploratory model heterogeneity
capability_failure,ministral-14b,EU,-8.012820512820537e-4,-0.002403846153846161,0,624,-0.08012820512820537,-0.24038461538461608,0,exploratory model heterogeneity
capability_failure,mistral-large-2512,EU,8.012820512820537e-4,0,0.002824519230769219,624,0.08012820512820537,0,0.2824519230769219,exploratory model heterogeneity
