language,outcome,model,jurisdiction,estimate,conf_low,conf_high,n_blocks,n_issues,estimate_pp,conf_low_pp,conf_high_pp,evidence_status
hi,genuine_refusal,deepseek-chat-v3.1,CN,0.01603849238171612,0.006813491803405096,0.025682315292438043,2494,624,1.6038492381716118,0.6813491803405095,2.5682315292438043,exploratory model heterogeneity
hi,genuine_refusal,glm-4.7-flash,CN,-0.010817307692307692,-0.015224358974358974,-0.006810897435897436,2496,624,-1.0817307692307692,-1.5224358974358974,-0.6810897435897436,exploratory model heterogeneity
hi,genuine_refusal,hunyuan-a13b,CN,-0.05128205128205128,-0.06211939102564103,-0.04145633012820514,2496,624,-5.128205128205128,-6.211939102564103,-4.145633012820514,exploratory model heterogeneity
hi,genuine_refusal,qwen3-max,CN,-0.03326653306613227,-0.04088176352705411,-0.02565618807783972,2495,624,-3.3266533066132267,-4.088176352705411,-2.565618807783972,exploratory model heterogeneity
hi,genuine_refusal,allam-7b,MENA,-0.06853707414829659,-0.07878415612299178,-0.059306160397718514,2495,624,-6.853707414829659,-7.878415612299178,-5.930616039771851,exploratory model heterogeneity
hi,genuine_refusal,falcon3-10b,MENA,-0.02404809619238477,-0.031676022453889334,-0.01742847764494507,2495,624,-2.404809619238477,-3.167602245388933,-1.742847764494507,exploratory model heterogeneity
hi,genuine_refusal,jais-8b,MENA,-0.02004008016032064,-0.027459112937413287,-0.013231493070376615,2495,624,-2.004008016032064,-2.7459112937413286,-1.3231493070376614,exploratory model heterogeneity
hi,genuine_refusal,sarvam-30b,India,-0.05142857142857143,-0.06225824078021619,-0.04102376613497849,2450,624,-5.142857142857142,-6.225824078021619,-4.102376613497849,exploratory model heterogeneity
hi,genuine_refusal,claude-opus-4.5,US,0.06129807692307692,0.04927884615384615,0.07453926282051279,2496,624,6.129807692307692,4.927884615384615,7.453926282051279,exploratory model heterogeneity
hi,genuine_refusal,gemini-2.5-flash-lite,US,-0.0036072144288577155,-0.007211538461538462,-4.0071729998458457e-4,2495,624,-0.36072144288577157,-0.7211538461538461,-0.040071729998458455,exploratory model heterogeneity
hi,genuine_refusal,gpt-4o,US,-0.002404809619238477,-0.0052125100240577385,0,2495,624,-0.24048096192384769,-0.5212510024057738,0,exploratory model heterogeneity
hi,genuine_refusal,gpt-5.1,US,-0.02564102564102564,-0.03365384615384615,-0.017628205128205128,2496,624,-2.564102564102564,-3.3653846153846154,-1.7628205128205128,exploratory model heterogeneity
hi,genuine_refusal,grok-4.3,US,-0.001201923076923077,-0.00641025641025641,0.003205128205128205,2496,624,-0.1201923076923077,-0.641025641025641,0.3205128205128205,exploratory model heterogeneity
hi,genuine_refusal,llama-4-scout,US,0.008413461538461538,1.9030448717948775e-4,0.017037259615384607,2496,624,0.8413461538461539,0.019030448717948775,1.7037259615384608,exploratory model heterogeneity
hi,genuine_refusal,nova-lite,US,-0.005208333333333333,-0.008814102564102564,-0.0016025641025641025,2496,624,-0.5208333333333333,-0.8814102564102564,-0.16025641025641024,exploratory model heterogeneity
hi,genuine_refusal,ministral-14b,EU,0.00040064102564102563,-8.012820512820513e-4,0.0016025641025641025,2496,624,0.04006410256410256,-0.08012820512820512,0.16025641025641024,exploratory model heterogeneity
hi,genuine_refusal,mistral-large-2512,EU,-4.008016032064128e-4,-0.0012028869286287089,0,2495,624,-0.04008016032064128,-0.12028869286287089,0,exploratory model heterogeneity
hi,capability_failure,deepseek-chat-v3.1,CN,0.7425821972734563,0.7233886779171816,0.7657148724293189,2494,624,74.25821972734563,72.33886779171816,76.5714872429319,exploratory model heterogeneity
hi,capability_failure,glm-4.7-flash,CN,0.47716346153846156,0.4567107371794872,0.49601362179487174,2496,624,47.71634615384615,45.671073717948715,49.601362179487175,exploratory model heterogeneity
hi,capability_failure,hunyuan-a13b,CN,0.30288461538461536,0.2768028846153846,0.3315404647435897,2496,624,30.288461538461537,27.68028846153846,33.15404647435897,exploratory model heterogeneity
hi,capability_failure,qwen3-max,CN,0.6973947895791583,0.6723077694158288,0.7234468937875751,2495,624,69.73947895791584,67.23077694158289,72.34468937875751,exploratory model heterogeneity
hi,capability_failure,allam-7b,MENA,0.5855711422845692,0.566130949856579,0.6062301928474493,2495,624,58.55711422845692,56.613094985657895,60.62301928474493,exploratory model heterogeneity
hi,capability_failure,falcon3-10b,MENA,0.9118236472945892,0.9000110557653769,0.9222444889779559,2495,624,91.18236472945893,90.00110557653768,92.22444889779558,exploratory model heterogeneity
hi,capability_failure,jais-8b,MENA,0.9346693386773547,0.9250801282051282,0.9439102564102564,2495,624,93.46693386773546,92.50801282051282,94.39102564102564,exploratory model heterogeneity
hi,capability_failure,sarvam-30b,India,0.7840816326530612,0.7625869243046055,0.8052770696348227,2450,624,78.40816326530611,76.25869243046056,80.52770696348227,exploratory model heterogeneity
hi,capability_failure,claude-opus-4.5,US,0.6943108974358975,0.6704627403846154,0.7165564903846153,2496,624,69.43108974358975,67.04627403846153,71.65564903846153,exploratory model heterogeneity
hi,capability_failure,gemini-2.5-flash-lite,US,0.4020040080160321,0.3819793818843524,0.42248597756410255,2495,624,40.20040080160321,38.19793818843524,42.248597756410255,exploratory model heterogeneity
hi,capability_failure,gpt-4o,US,0.78436873747495,0.7623094947103818,0.8048878205128205,2495,624,78.436873747495,76.23094947103817,80.48878205128204,exploratory model heterogeneity
hi,capability_failure,gpt-5.1,US,0.7207532051282052,0.6949018429487179,0.7443910256410257,2496,624,72.07532051282051,69.4901842948718,74.43910256410257,exploratory model heterogeneity
hi,capability_failure,grok-4.3,US,0.7752403846153846,0.7523838141025642,0.7954827724358975,2496,624,77.52403846153845,75.23838141025642,79.54827724358975,exploratory model heterogeneity
