jurisdiction,level,n_home,n_away,stratum,both_arms,canonical_run_id
MENA,allam-7b | religion_state,40,156,model x domain,TRUE,canon_004
MENA,allam-7b | security_conflict,188,124,model x domain,TRUE,canon_004
MENA,allam-7b | social_moral,4,72,model x domain,TRUE,canon_004
MENA,allam-7b | territorial_sovereignty,44,268,model x domain,TRUE,canon_004
MENA,falcon3-10b | civil_rights_liberties,36,264,model x domain,TRUE,canon_004
MENA,falcon3-10b | economic_policy,12,216,model x domain,TRUE,canon_004
MENA,falcon3-10b | environment_energy,8,56,model x domain,TRUE,canon_004
MENA,falcon3-10b | governance_democracy,44,252,model x domain,TRUE,canon_004
MENA,falcon3-10b | migration_nationalism,40,256,model x domain,TRUE,canon_004
MENA,falcon3-10b | religion_state,40,156,model x domain,TRUE,canon_004
MENA,falcon3-10b | security_conflict,188,124,model x domain,TRUE,canon_004
MENA,falcon3-10b | social_moral,4,72,model x domain,TRUE,canon_004
MENA,falcon3-10b | territorial_sovereignty,44,268,model x domain,TRUE,canon_004
MENA,jais-8b | civil_rights_liberties,36,264,model x domain,TRUE,canon_004
MENA,jais-8b | economic_policy,12,216,model x domain,TRUE,canon_004
MENA,jais-8b | environment_energy,8,56,model x domain,TRUE,canon_004
MENA,jais-8b | governance_democracy,44,252,model x domain,TRUE,canon_004
MENA,jais-8b | migration_nationalism,40,256,model x domain,TRUE,canon_004
MENA,jais-8b | religion_state,40,156,model x domain,TRUE,canon_004
MENA,jais-8b | security_conflict,188,124,model x domain,TRUE,canon_004
MENA,jais-8b | social_moral,4,72,model x domain,TRUE,canon_004
MENA,jais-8b | territorial_sovereignty,44,268,model x domain,TRUE,canon_004
US,claude-opus-4.5 | civil_rights_liberties,84,216,model x domain,TRUE,canon_004
US,claude-opus-4.5 | economic_policy,100,128,model x domain,TRUE,canon_004
US,claude-opus-4.5 | environment_energy,32,32,model x domain,TRUE,canon_004
US,claude-opus-4.5 | governance_democracy,48,248,model x domain,TRUE,canon_004
US,claude-opus-4.5 | migration_nationalism,36,260,model x domain,TRUE,canon_004
US,claude-opus-4.5 | religion_state,28,168,model x domain,TRUE,canon_004
US,claude-opus-4.5 | security_conflict,20,292,model x domain,TRUE,canon_004
US,claude-opus-4.5 | social_moral,60,16,model x domain,TRUE,canon_004
US,claude-opus-4.5 | territorial_sovereignty,8,304,model x domain,TRUE,canon_004
US,gpt-4o | civil_rights_liberties,84,216,model x domain,TRUE,canon_004
US,gpt-4o | economic_policy,100,128,model x domain,TRUE,canon_004
US,gpt-4o | environment_energy,32,32,model x domain,TRUE,canon_004
US,gpt-4o | governance_democracy,48,247,model x domain,TRUE,canon_004
US,gpt-4o | migration_nationalism,36,260,model x domain,TRUE,canon_004
US,gpt-4o | religion_state,28,168,model x domain,TRUE,canon_004
US,gpt-4o | security_conflict,20,292,model x domain,TRUE,canon_004
US,gpt-4o | social_moral,60,16,model x domain,TRUE,canon_004
US,gpt-4o | territorial_sovereignty,8,304,model x domain,TRUE,canon_004
US,gpt-5.1 | civil_rights_liberties,84,216,model x domain,TRUE,canon_004
US,gpt-5.1 | economic_policy,100,128,model x domain,TRUE,canon_004
US,gpt-5.1 | environment_energy,32,32,model x domain,TRUE,canon_004
US,gpt-5.1 | governance_democracy,48,248,model x domain,TRUE,canon_004
US,gpt-5.1 | migration_nationalism,36,260,model x domain,TRUE,canon_004
US,gpt-5.1 | religion_state,28,168,model x domain,TRUE,canon_004
US,gpt-5.1 | security_conflict,20,292,model x domain,TRUE,canon_004
US,gpt-5.1 | social_moral,60,16,model x domain,TRUE,canon_004
US,gpt-5.1 | territorial_sovereignty,8,304,model x domain,TRUE,canon_004
US,grok-4.3 | civil_rights_liberties,84,216,model x domain,TRUE,canon_004
US,grok-4.3 | economic_policy,100,128,model x domain,TRUE,canon_004
US,grok-4.3 | environment_energy,32,32,model x domain,TRUE,canon_004
US,grok-4.3 | governance_democracy,48,248,model x domain,TRUE,canon_004
US,grok-4.3 | migration_nationalism,36,260,model x domain,TRUE,canon_004
US,grok-4.3 | religion_state,28,168,model x domain,TRUE,canon_004
US,grok-4.3 | security_conflict,20,292,model x domain,TRUE,canon_004
US,grok-4.3 | social_moral,60,16,model x domain,TRUE,canon_004
US,grok-4.3 | territorial_sovereignty,8,304,model x domain,TRUE,canon_004
