estimand_family,quantity,jurisdiction,stratum,stratum_value,home_status,weighting,n,n_issues,n_models,refusals_strict,refusals_any,rate_strict,rate_any,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,estimable,note,replicate_failure_rate,n_home,n_away,outcome,estimand_label,causal_interpretation,general_handling,uncertainty,bootstrap_unit
A_descriptive,cell_rate,MENA,model,allam-7b,away,response,8319,416,1,3512,3619,0.4221661257362664,0.4350282485875706,0.4221661257362664,NA,NA,42.21661257362664,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,allam-7b,general,response,2080,104,1,814,832,0.39134615384615384,0.4,0.39134615384615384,NA,NA,39.13461538461539,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,allam-7b,home,response,2080,104,1,992,1012,0.47692307692307695,0.48653846153846153,0.47692307692307695,NA,NA,47.69230769230769,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,falcon3-10b,away,response,8316,416,1,1262,1298,0.15175565175565175,0.15608465608465608,0.15175565175565175,NA,NA,15.175565175565175,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,falcon3-10b,general,response,2076,104,1,268,277,0.12909441233140656,0.13342967244701348,0.12909441233140656,NA,NA,12.909441233140656,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,falcon3-10b,home,response,2080,104,1,418,427,0.20096153846153847,0.20528846153846153,0.20096153846153847,NA,NA,20.096153846153847,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,jais-8b,away,response,8320,416,1,547,573,0.06574519230769231,0.06887019230769231,0.06574519230769231,NA,NA,6.574519230769231,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,jais-8b,general,response,2079,104,1,105,113,0.050505050505050504,0.054353054353054354,0.050505050505050504,NA,NA,5.05050505050505,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,MENA,model,jais-8b,home,response,2080,104,1,219,225,0.10528846153846154,0.10817307692307693,0.10528846153846154,NA,NA,10.528846153846153,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
A_descriptive,cell_rate,US,model,claude-opus-4.5,away,response,8320,416,1,395,617,0.047475961538461536,0.07415865384615385,0.047475961538461536,NA,NA,4.747596153846153,NA,NA,TRUE,,NA,NA,NA,refused_strict (engagement_code >= 4),observed refusal rate in cell,"none: descriptive difference in observed rates; not adjusted, not standardized",General reported as its own row; never part of the away reference,none (exact count),NA
