model_f,language_f,dominant_foundation,n,prop
DeepSeek V3.1,Chinese,authority_subversion,4,0.035398230088495575
DeepSeek V3.1,Chinese,care_harm,21,0.18584070796460178
DeepSeek V3.1,Chinese,fairness_cheating,59,0.5221238938053098
DeepSeek V3.1,Chinese,liberty_oppression,18,0.1592920353982301
DeepSeek V3.1,Chinese,loyalty_betrayal,9,0.07964601769911504
DeepSeek V3.1,Chinese,sanctity_degradation,2,0.017699115044247787
DeepSeek V3.1,Japanese,authority_subversion,4,0.03418803418803419
DeepSeek V3.1,Japanese,care_harm,32,0.27350427350427353
DeepSeek V3.1,Japanese,fairness_cheating,54,0.46153846153846156
DeepSeek V3.1,Japanese,liberty_oppression,14,0.11965811965811966
DeepSeek V3.1,Japanese,loyalty_betrayal,11,0.09401709401709402
DeepSeek V3.1,Japanese,sanctity_degradation,2,0.017094017094017096
DeepSeek V3.1,Indonesian,authority_subversion,6,0.04411764705882353
DeepSeek V3.1,Indonesian,care_harm,30,0.22058823529411764
DeepSeek V3.1,Indonesian,fairness_cheating,68,0.5
DeepSeek V3.1,Indonesian,liberty_oppression,16,0.11764705882352941
DeepSeek V3.1,Indonesian,loyalty_betrayal,13,0.09558823529411764
DeepSeek V3.1,Indonesian,sanctity_degradation,3,0.022058823529411766
DeepSeek V3.1,Arabic,authority_subversion,5,0.03731343283582089
DeepSeek V3.1,Arabic,care_harm,32,0.23880597014925373
DeepSeek V3.1,Arabic,fairness_cheating,75,0.5597014925373134
DeepSeek V3.1,Arabic,liberty_oppression,13,0.09701492537313433
DeepSeek V3.1,Arabic,loyalty_betrayal,7,0.05223880597014925
DeepSeek V3.1,Arabic,sanctity_degradation,2,0.014925373134328358
Qwen3-Max,English,authority_subversion,2,0.013986013986013986
Qwen3-Max,English,care_harm,39,0.2727272727272727
Qwen3-Max,English,fairness_cheating,67,0.46853146853146854
Qwen3-Max,English,liberty_oppression,23,0.16083916083916083
Qwen3-Max,English,loyalty_betrayal,12,0.08391608391608392
Qwen3-Max,Chinese,authority_subversion,1,0.007246376811594203
Qwen3-Max,Chinese,care_harm,30,0.21739130434782608
Qwen3-Max,Chinese,fairness_cheating,75,0.5434782608695652
Qwen3-Max,Chinese,liberty_oppression,20,0.14492753623188406
Qwen3-Max,Chinese,loyalty_betrayal,10,0.07246376811594203
Qwen3-Max,Chinese,sanctity_degradation,2,0.014492753623188406
Qwen3-Max,Japanese,authority_subversion,3,0.022388059701492536
Qwen3-Max,Japanese,care_harm,32,0.23880597014925373
Qwen3-Max,Japanese,fairness_cheating,73,0.5447761194029851
Qwen3-Max,Japanese,liberty_oppression,15,0.11194029850746269
Qwen3-Max,Japanese,loyalty_betrayal,10,0.07462686567164178
Qwen3-Max,Japanese,sanctity_degradation,1,0.007462686567164179
Qwen3-Max,Indonesian,authority_subversion,7,0.04929577464788732
Qwen3-Max,Indonesian,care_harm,25,0.176056338028169
Qwen3-Max,Indonesian,fairness_cheating,80,0.5633802816901409
Qwen3-Max,Indonesian,liberty_oppression,17,0.11971830985915492
Qwen3-Max,Indonesian,loyalty_betrayal,12,0.08450704225352113
Qwen3-Max,Indonesian,sanctity_degradation,1,0.007042253521126761
Qwen3-Max,Arabic,authority_subversion,3,0.020833333333333332
Qwen3-Max,Arabic,care_harm,27,0.1875
Qwen3-Max,Arabic,fairness_cheating,82,0.5694444444444444
Qwen3-Max,Arabic,liberty_oppression,15,0.10416666666666667
Qwen3-Max,Arabic,loyalty_betrayal,15,0.10416666666666667
Qwen3-Max,Arabic,sanctity_degradation,2,0.013888888888888888
Mistral Large 2512,English,authority_subversion,2,0.014184397163120567
Mistral Large 2512,English,care_harm,39,0.2765957446808511
Mistral Large 2512,English,fairness_cheating,74,0.524822695035461
Mistral Large 2512,English,liberty_oppression,17,0.12056737588652482
Mistral Large 2512,English,loyalty_betrayal,6,0.0425531914893617
Mistral Large 2512,English,sanctity_degradation,3,0.02127659574468085
Mistral Large 2512,Chinese,authority_subversion,1,0.007518796992481203
Mistral Large 2512,Chinese,care_harm,27,0.20300751879699247
Mistral Large 2512,Chinese,fairness_cheating,80,0.6015037593984962
Mistral Large 2512,Chinese,liberty_oppression,15,0.11278195488721804
Mistral Large 2512,Chinese,loyalty_betrayal,8,0.06015037593984962
Mistral Large 2512,Chinese,sanctity_degradation,2,0.015037593984962405
Mistral Large 2512,Japanese,authority_subversion,3,0.022222222222222223
Mistral Large 2512,Japanese,care_harm,29,0.21481481481481482
Mistral Large 2512,Japanese,fairness_cheating,75,0.5555555555555556
Mistral Large 2512,Japanese,liberty_oppression,16,0.11851851851851852
Mistral Large 2512,Japanese,loyalty_betrayal,9,0.06666666666666667
Mistral Large 2512,Japanese,sanctity_degradation,3,0.022222222222222223
Mistral Large 2512,Indonesian,authority_subversion,3,0.020833333333333332
Mistral Large 2512,Indonesian,care_harm,34,0.2361111111111111
Mistral Large 2512,Indonesian,fairness_cheating,82,0.5694444444444444
Mistral Large 2512,Indonesian,liberty_oppression,9,0.0625
Mistral Large 2512,Indonesian,loyalty_betrayal,14,0.09722222222222222
Mistral Large 2512,Indonesian,sanctity_degradation,2,0.013888888888888888
Mistral Large 2512,Arabic,authority_subversion,2,0.014285714285714285
Mistral Large 2512,Arabic,care_harm,34,0.24285714285714285
Mistral Large 2512,Arabic,fairness_cheating,76,0.5428571428571428
Mistral Large 2512,Arabic,liberty_oppression,13,0.09285714285714286
Mistral Large 2512,Arabic,loyalty_betrayal,13,0.09285714285714286
Mistral Large 2512,Arabic,sanctity_degradation,2,0.014285714285714285
