model_f,language_f,foundation_f,n,activation_rate,se
Grok 4.3,Chinese,Loyalty/Betrayal,158,0.10126582278481008,0.02400040293972476
Grok 4.3,Chinese,Authority/Subversion,158,0.1455696202531646,0.02805725451807181
Grok 4.3,Chinese,Sanctity/Degradation,158,0.08860759493670883,0.02260786928307293
Grok 4.3,Chinese,Liberty/Oppression,158,0.4367088607594937,0.039457895496951514
Grok 4.3,Japanese,Care/Harm,157,0.3694267515923567,0.0385196307633119
Grok 4.3,Japanese,Fairness/Cheating,157,0.4904458598726114,0.03989705849400495
Grok 4.3,Japanese,Loyalty/Betrayal,157,0.089171974522293,0.022744822814303633
Grok 4.3,Japanese,Authority/Subversion,157,0.10191082802547773,0.024144603009800904
Grok 4.3,Japanese,Sanctity/Degradation,157,0.07006369426751594,0.02037151330224616
Grok 4.3,Japanese,Liberty/Oppression,157,0.4777070063694268,0.03986466136442846
Grok 4.3,Indonesian,Care/Harm,159,0.3836477987421384,0.038564017287149754
Grok 4.3,Indonesian,Fairness/Cheating,159,0.4905660377358491,0.03964552052674386
Grok 4.3,Indonesian,Loyalty/Betrayal,159,0.10691823899371077,0.024506029185518304
Grok 4.3,Indonesian,Authority/Subversion,159,0.15094339622641512,0.028390746938236934
Grok 4.3,Indonesian,Sanctity/Degradation,159,0.09433962264150945,0.023180947805054766
Grok 4.3,Indonesian,Liberty/Oppression,159,0.459119496855346,0.03951982103302104
Grok 4.3,Arabic,Care/Harm,160,0.375,0.038273277230987154
Grok 4.3,Arabic,Fairness/Cheating,160,0.56875,0.03915302011818501
Grok 4.3,Arabic,Loyalty/Betrayal,160,0.1312500000000001,0.02669543939280641
Grok 4.3,Arabic,Authority/Subversion,160,0.11875000000000004,0.02557445472292616
Grok 4.3,Arabic,Sanctity/Degradation,160,0.08750000000000002,0.022338832500826897
Grok 4.3,Arabic,Liberty/Oppression,160,0.46875,0.039451191165476865
DeepSeek V3.1,English,Care/Harm,159,0.5911949685534592,0.03898745788575209
DeepSeek V3.1,English,Fairness/Cheating,159,0.6100628930817611,0.038679960811027154
DeepSeek V3.1,English,Loyalty/Betrayal,159,0.1383647798742138,0.027382679137701774
DeepSeek V3.1,English,Authority/Subversion,159,0.11949685534591192,0.02572439276389988
DeepSeek V3.1,English,Sanctity/Degradation,159,0.08176100628930814,0.021729634308220197
DeepSeek V3.1,English,Liberty/Oppression,159,0.591194968553459,0.0389874578857521
DeepSeek V3.1,Chinese,Care/Harm,134,0.48507462686567165,0.04317417287290759
DeepSeek V3.1,Chinese,Fairness/Cheating,134,0.5820895522388059,0.04260731012652819
DeepSeek V3.1,Chinese,Loyalty/Betrayal,134,0.09701492537313437,0.02556861264221445
DeepSeek V3.1,Chinese,Authority/Subversion,134,0.12686567164179102,0.028751479261187235
DeepSeek V3.1,Chinese,Sanctity/Degradation,134,0.06716417910447761,0.021623155110622832
DeepSeek V3.1,Chinese,Liberty/Oppression,134,0.6119402985074626,0.04209702453147294
DeepSeek V3.1,Japanese,Care/Harm,152,0.39473684210526316,0.03964643638910621
DeepSeek V3.1,Japanese,Fairness/Cheating,152,0.47368421052631576,0.04049914547704556
DeepSeek V3.1,Japanese,Loyalty/Betrayal,152,0.09210526315789477,0.023455148079353623
DeepSeek V3.1,Japanese,Authority/Subversion,152,0.08552631578947367,0.022683689522974216
DeepSeek V3.1,Japanese,Sanctity/Degradation,152,0.03289473684210524,0.014466993542969741
DeepSeek V3.1,Japanese,Liberty/Oppression,152,0.44736842105263147,0.04033004600998874
DeepSeek V3.1,Indonesian,Care/Harm,152,0.5328947368421053,0.04046749315061807
DeepSeek V3.1,Indonesian,Fairness/Cheating,152,0.5921052631578947,0.039861323797125814
DeepSeek V3.1,Indonesian,Loyalty/Betrayal,152,0.125,0.026824846102467253
DeepSeek V3.1,Indonesian,Authority/Subversion,152,0.13815789473684215,0.027988518658588264
DeepSeek V3.1,Indonesian,Sanctity/Degradation,152,0.07894736842105261,0.02187203836198581
DeepSeek V3.1,Indonesian,Liberty/Oppression,152,0.5,0.040555355282690636
DeepSeek V3.1,Arabic,Care/Harm,151,0.5033112582781457,0.04068853065600272
DeepSeek V3.1,Arabic,Fairness/Cheating,151,0.609271523178808,0.03970585008878083
DeepSeek V3.1,Arabic,Loyalty/Betrayal,151,0.07947019867549672,0.022010636531376887
DeepSeek V3.1,Arabic,Authority/Subversion,151,0.12582781456953646,0.02698971789136686
DeepSeek V3.1,Arabic,Sanctity/Degradation,151,0.05960264900662249,0.019266374860148462
DeepSeek V3.1,Arabic,Liberty/Oppression,151,0.49668874172185423,0.04068853065600272
Qwen3-Max,English,Care/Harm,158,0.5759493670886076,0.03931628432219975
Qwen3-Max,English,Fairness/Cheating,158,0.5949367088607594,0.039054248323235695
Qwen3-Max,English,Loyalty/Betrayal,158,0.1329113924050634,0.027007494760773944
Qwen3-Max,English,Authority/Subversion,158,0.13924050632911392,0.02754198035385599
Qwen3-Max,English,Sanctity/Degradation,158,0.08860759493670887,0.022607869283072932
Qwen3-Max,English,Liberty/Oppression,158,0.5759493670886076,0.03931628432219975
Qwen3-Max,Chinese,Care/Harm,157,0.5222929936305734,0.03986466136442846
Qwen3-Max,Chinese,Fairness/Cheating,157,0.6114649681528663,0.038900130243480525
Qwen3-Max,Chinese,Loyalty/Betrayal,157,0.10191082802547773,0.024144603009800904
Qwen3-Max,Chinese,Authority/Subversion,157,0.14012738853503187,0.02770312400666324
Qwen3-Max,Chinese,Sanctity/Degradation,157,0.09554140127388534,0.023460665266671926
Qwen3-Max,Chinese,Liberty/Oppression,157,0.5605095541401275,0.03961105438721974
Qwen3-Max,Japanese,Care/Harm,159,0.45283018867924535,0.039475731650065106
Qwen3-Max,Japanese,Fairness/Cheating,159,0.5849056603773585,0.039076688738190354
Qwen3-Max,Japanese,Loyalty/Betrayal,159,0.10691823899371068,0.024506029185518294
Qwen3-Max,Japanese,Authority/Subversion,159,0.1257861635220126,0.026298241635796783
Qwen3-Max,Japanese,Sanctity/Degradation,159,0.0628930817610063,0.019252957304100583
Qwen3-Max,Japanese,Liberty/Oppression,159,0.5534591194968554,0.039425283410093194
Qwen3-Max,Indonesian,Care/Harm,159,0.5471698113207547,0.03947573165006511
Qwen3-Max,Indonesian,Fairness/Cheating,159,0.6540880503144655,0.03772266161987165
Qwen3-Max,Indonesian,Loyalty/Betrayal,159,0.11320754716981121,0.02512754864367574
Qwen3-Max,Indonesian,Authority/Subversion,159,0.15094339622641512,0.028390746938236934
Qwen3-Max,Indonesian,Sanctity/Degradation,159,0.0628930817610063,0.019252957304100583
Qwen3-Max,Indonesian,Liberty/Oppression,159,0.5597484276729561,0.0393684518676651
Qwen3-Max,Arabic,Care/Harm,160,0.49374999999999997,0.03952538246968649
Qwen3-Max,Arabic,Fairness/Cheating,160,0.6437500000000002,0.03785960392522616
Qwen3-Max,Arabic,Loyalty/Betrayal,160,0.15000000000000002,0.02822897447659054
Qwen3-Max,Arabic,Authority/Subversion,160,0.11250000000000003,0.02498046111463918
Qwen3-Max,Arabic,Sanctity/Degradation,160,0.08750000000000001,0.022338832500826897
Qwen3-Max,Arabic,Liberty/Oppression,160,0.5249999999999999,0.039479029243384395
Mistral Large 2512,English,Care/Harm,160,0.61875,0.038397463905510736
Mistral Large 2512,English,Fairness/Cheating,160,0.69375,0.036440099607094927
Mistral Large 2512,English,Loyalty/Betrayal,160,0.09999999999999999,0.023717082451262844
Mistral Large 2512,English,Authority/Subversion,160,0.14375000000000007,0.027736025479058825
Mistral Large 2512,English,Sanctity/Degradation,160,0.06874999999999998,0.020003661774160245
Mistral Large 2512,English,Liberty/Oppression,160,0.65,0.03770775782249589
Mistral Large 2512,Chinese,Care/Harm,160,0.50625,0.03952538246968649
Mistral Large 2512,Chinese,Fairness/Cheating,160,0.63125,0.03814228604023361
Mistral Large 2512,Chinese,Loyalty/Betrayal,160,0.08750000000000005,0.022338832500826904
Mistral Large 2512,Chinese,Authority/Subversion,160,0.09999999999999996,0.023717082451262844
Mistral Large 2512,Chinese,Sanctity/Degradation,160,0.08750000000000001,0.022338832500826897
Mistral Large 2512,Chinese,Liberty/Oppression,160,0.6062499999999998,0.03862568263959875
Mistral Large 2512,Japanese,Care/Harm,160,0.55625,0.03927753313759661
Mistral Large 2512,Japanese,Fairness/Cheating,160,0.6375,0.03800441997320838
Mistral Large 2512,Japanese,Loyalty/Betrayal,160,0.09375,0.023043564380863475
Mistral Large 2512,Japanese,Authority/Subversion,160,0.11250000000000002,0.02498046111463918
Mistral Large 2512,Japanese,Sanctity/Degradation,160,0.05625,0.018215024275992607
Mistral Large 2512,Japanese,Liberty/Oppression,160,0.6125,0.03851491188487908
Mistral Large 2512,Indonesian,Care/Harm,160,0.625,0.038273277230987154
Mistral Large 2512,Indonesian,Fairness/Cheating,160,0.6875,0.036643873123620545
Mistral Large 2512,Indonesian,Loyalty/Betrayal,160,0.14375000000000002,0.02773602547905882
Mistral Large 2512,Indonesian,Authority/Subversion,160,0.11250000000000002,0.02498046111463918
Mistral Large 2512,Indonesian,Sanctity/Degradation,160,0.05625000000000003,0.01821502427599261
Mistral Large 2512,Indonesian,Liberty/Oppression,160,0.6187499999999999,0.03839746390551074
Mistral Large 2512,Arabic,Care/Harm,160,0.5375,0.03941714014867136
Mistral Large 2512,Arabic,Fairness/Cheating,160,0.64375,0.03785960392522616
Mistral Large 2512,Arabic,Loyalty/Betrayal,160,0.13749999999999993,0.027225189393280624
Mistral Large 2512,Arabic,Authority/Subversion,160,0.08750000000000005,0.022338832500826904
Mistral Large 2512,Arabic,Sanctity/Degradation,160,0.07500000000000002,0.020822914061197104
Mistral Large 2512,Arabic,Liberty/Oppression,160,0.55,0.03933033180638068
