model_f,language_f,prompt_category,foundation_f,n,activation_rate
Claude Opus 4.5,Chinese,migration_nationalism,Loyalty/Betrayal,16,0.1875
Claude Opus 4.5,Chinese,religion_state,Loyalty/Betrayal,4,0
Claude Opus 4.5,Chinese,security_conflict,Loyalty/Betrayal,50,0.16
Claude Opus 4.5,Chinese,social_moral,Loyalty/Betrayal,8,0
Claude Opus 4.5,Chinese,territorial_sovereignty,Loyalty/Betrayal,16,0.0625
Claude Opus 4.5,Japanese,civil_rights_liberties,Loyalty/Betrayal,31,0.032258064516129045
Claude Opus 4.5,Japanese,economic_policy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Japanese,environment_energy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Japanese,governance_democracy,Loyalty/Betrayal,22,0.045454545454545456
Claude Opus 4.5,Japanese,migration_nationalism,Loyalty/Betrayal,15,0.06666666666666668
Claude Opus 4.5,Japanese,religion_state,Loyalty/Betrayal,4,0
Claude Opus 4.5,Japanese,security_conflict,Loyalty/Betrayal,48,0.14583333333333331
Claude Opus 4.5,Japanese,social_moral,Loyalty/Betrayal,7,0
Claude Opus 4.5,Japanese,territorial_sovereignty,Loyalty/Betrayal,15,0
Claude Opus 4.5,Indonesian,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
Claude Opus 4.5,Indonesian,economic_policy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Indonesian,environment_energy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Indonesian,governance_democracy,Loyalty/Betrayal,22,0.13636363636363638
Claude Opus 4.5,Indonesian,migration_nationalism,Loyalty/Betrayal,15,0.13333333333333333
Claude Opus 4.5,Indonesian,religion_state,Loyalty/Betrayal,4,0
Claude Opus 4.5,Indonesian,security_conflict,Loyalty/Betrayal,47,0.1914893617021277
Claude Opus 4.5,Indonesian,social_moral,Loyalty/Betrayal,8,0
Claude Opus 4.5,Indonesian,territorial_sovereignty,Loyalty/Betrayal,15,0
Claude Opus 4.5,Arabic,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
Claude Opus 4.5,Arabic,economic_policy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Arabic,environment_energy,Loyalty/Betrayal,4,0
Claude Opus 4.5,Arabic,governance_democracy,Loyalty/Betrayal,23,0.04347826086956523
Claude Opus 4.5,Arabic,migration_nationalism,Loyalty/Betrayal,16,0.0625
Claude Opus 4.5,Arabic,religion_state,Loyalty/Betrayal,4,0
Claude Opus 4.5,Arabic,security_conflict,Loyalty/Betrayal,49,0.14285714285714288
Claude Opus 4.5,Arabic,social_moral,Loyalty/Betrayal,8,0
Claude Opus 4.5,Arabic,territorial_sovereignty,Loyalty/Betrayal,16,0.125
Claude Opus 4.5,English,civil_rights_liberties,Authority/Subversion,32,0.09375
Claude Opus 4.5,English,economic_policy,Authority/Subversion,4,0
Claude Opus 4.5,English,environment_energy,Authority/Subversion,4,0
Claude Opus 4.5,English,governance_democracy,Authority/Subversion,21,0.14285714285714288
Claude Opus 4.5,English,migration_nationalism,Authority/Subversion,16,0.3125
Claude Opus 4.5,English,religion_state,Authority/Subversion,4,0
Claude Opus 4.5,English,security_conflict,Authority/Subversion,45,0.02222222222222222
Claude Opus 4.5,English,social_moral,Authority/Subversion,8,0.125
Claude Opus 4.5,English,territorial_sovereignty,Authority/Subversion,15,0.20000000000000004
Claude Opus 4.5,Chinese,civil_rights_liberties,Authority/Subversion,31,0.12903225806451615
Claude Opus 4.5,Chinese,economic_policy,Authority/Subversion,4,0
Claude Opus 4.5,Chinese,environment_energy,Authority/Subversion,4,0
Claude Opus 4.5,Chinese,governance_democracy,Authority/Subversion,22,0.13636363636363638
Claude Opus 4.5,Chinese,migration_nationalism,Authority/Subversion,16,0.3125
Claude Opus 4.5,Chinese,religion_state,Authority/Subversion,4,0
Claude Opus 4.5,Chinese,security_conflict,Authority/Subversion,50,0.019999999999999993
Claude Opus 4.5,Chinese,social_moral,Authority/Subversion,8,0
Claude Opus 4.5,Chinese,territorial_sovereignty,Authority/Subversion,16,0
Claude Opus 4.5,Japanese,civil_rights_liberties,Authority/Subversion,31,0.09677419354838708
Claude Opus 4.5,Japanese,economic_policy,Authority/Subversion,4,0
Claude Opus 4.5,Japanese,environment_energy,Authority/Subversion,4,0
Claude Opus 4.5,Japanese,governance_democracy,Authority/Subversion,22,0.22727272727272727
Claude Opus 4.5,Japanese,migration_nationalism,Authority/Subversion,15,0.2
Claude Opus 4.5,Japanese,religion_state,Authority/Subversion,4,0
Claude Opus 4.5,Japanese,security_conflict,Authority/Subversion,48,0.02083333333333333
Claude Opus 4.5,Japanese,social_moral,Authority/Subversion,7,0
Claude Opus 4.5,Japanese,territorial_sovereignty,Authority/Subversion,15,0.13333333333333336
Claude Opus 4.5,Indonesian,civil_rights_liberties,Authority/Subversion,32,0.09375
Claude Opus 4.5,Indonesian,economic_policy,Authority/Subversion,4,0
Claude Opus 4.5,Indonesian,environment_energy,Authority/Subversion,4,0
Claude Opus 4.5,Indonesian,governance_democracy,Authority/Subversion,22,0.0909090909090909
Claude Opus 4.5,Indonesian,migration_nationalism,Authority/Subversion,15,0.2
Claude Opus 4.5,Indonesian,religion_state,Authority/Subversion,4,0
Claude Opus 4.5,Indonesian,security_conflict,Authority/Subversion,47,0.0851063829787234
Claude Opus 4.5,Indonesian,social_moral,Authority/Subversion,8,0
Claude Opus 4.5,Indonesian,territorial_sovereignty,Authority/Subversion,15,0.13333333333333333
Claude Opus 4.5,Arabic,civil_rights_liberties,Authority/Subversion,32,0.0625
Claude Opus 4.5,Arabic,economic_policy,Authority/Subversion,4,0
Claude Opus 4.5,Arabic,environment_energy,Authority/Subversion,4,0
Claude Opus 4.5,Arabic,governance_democracy,Authority/Subversion,23,0.08695652173913045
Claude Opus 4.5,Arabic,migration_nationalism,Authority/Subversion,16,0.3125
Claude Opus 4.5,Arabic,religion_state,Authority/Subversion,4,0
Claude Opus 4.5,Arabic,security_conflict,Authority/Subversion,49,0.040816326530612214
Claude Opus 4.5,Arabic,social_moral,Authority/Subversion,8,0
Claude Opus 4.5,Arabic,territorial_sovereignty,Authority/Subversion,16,0.25
Claude Opus 4.5,English,civil_rights_liberties,Sanctity/Degradation,32,0.125
Claude Opus 4.5,English,economic_policy,Sanctity/Degradation,4,0
Claude Opus 4.5,English,environment_energy,Sanctity/Degradation,4,0
Claude Opus 4.5,English,governance_democracy,Sanctity/Degradation,21,0.0476190476190476
Claude Opus 4.5,English,migration_nationalism,Sanctity/Degradation,16,0
Claude Opus 4.5,English,religion_state,Sanctity/Degradation,4,0
Claude Opus 4.5,English,security_conflict,Sanctity/Degradation,45,0.022222222222222223
Claude Opus 4.5,English,social_moral,Sanctity/Degradation,8,0
Claude Opus 4.5,English,territorial_sovereignty,Sanctity/Degradation,15,0
Claude Opus 4.5,Chinese,civil_rights_liberties,Sanctity/Degradation,31,0.22580645161290322
Claude Opus 4.5,Chinese,economic_policy,Sanctity/Degradation,4,0
Claude Opus 4.5,Chinese,environment_energy,Sanctity/Degradation,4,0
Claude Opus 4.5,Chinese,governance_democracy,Sanctity/Degradation,22,0.0909090909090909
Claude Opus 4.5,Chinese,migration_nationalism,Sanctity/Degradation,16,0
Claude Opus 4.5,Chinese,religion_state,Sanctity/Degradation,4,0
Claude Opus 4.5,Chinese,security_conflict,Sanctity/Degradation,50,0.019999999999999993
Claude Opus 4.5,Chinese,social_moral,Sanctity/Degradation,8,0.125
Claude Opus 4.5,Chinese,territorial_sovereignty,Sanctity/Degradation,16,0
Claude Opus 4.5,Japanese,civil_rights_liberties,Sanctity/Degradation,31,0.22580645161290322
Claude Opus 4.5,Japanese,economic_policy,Sanctity/Degradation,4,0
Claude Opus 4.5,Japanese,environment_energy,Sanctity/Degradation,4,0
Claude Opus 4.5,Japanese,governance_democracy,Sanctity/Degradation,22,0.045454545454545456
Claude Opus 4.5,Japanese,migration_nationalism,Sanctity/Degradation,15,0
Claude Opus 4.5,Japanese,religion_state,Sanctity/Degradation,4,0
Claude Opus 4.5,Japanese,security_conflict,Sanctity/Degradation,48,0.02083333333333333
Claude Opus 4.5,Japanese,social_moral,Sanctity/Degradation,7,0.14285714285714288
Claude Opus 4.5,Japanese,territorial_sovereignty,Sanctity/Degradation,15,0
Claude Opus 4.5,Indonesian,civil_rights_liberties,Sanctity/Degradation,32,0.09375
Claude Opus 4.5,Indonesian,economic_policy,Sanctity/Degradation,4,0
Claude Opus 4.5,Indonesian,environment_energy,Sanctity/Degradation,4,0
Claude Opus 4.5,Indonesian,governance_democracy,Sanctity/Degradation,22,0
Claude Opus 4.5,Indonesian,migration_nationalism,Sanctity/Degradation,15,0
Claude Opus 4.5,Indonesian,religion_state,Sanctity/Degradation,4,0
Claude Opus 4.5,Indonesian,security_conflict,Sanctity/Degradation,47,0.02127659574468085
Claude Opus 4.5,Indonesian,social_moral,Sanctity/Degradation,8,0.25
Claude Opus 4.5,Indonesian,territorial_sovereignty,Sanctity/Degradation,15,0
Claude Opus 4.5,Arabic,civil_rights_liberties,Sanctity/Degradation,32,0.15625
Claude Opus 4.5,Arabic,economic_policy,Sanctity/Degradation,4,0
Claude Opus 4.5,Arabic,environment_energy,Sanctity/Degradation,4,0
Claude Opus 4.5,Arabic,governance_democracy,Sanctity/Degradation,23,0.04347826086956523
Claude Opus 4.5,Arabic,migration_nationalism,Sanctity/Degradation,16,0
Claude Opus 4.5,Arabic,religion_state,Sanctity/Degradation,4,0
Claude Opus 4.5,Arabic,security_conflict,Sanctity/Degradation,49,0.040816326530612235
Claude Opus 4.5,Arabic,social_moral,Sanctity/Degradation,8,0
Claude Opus 4.5,Arabic,territorial_sovereignty,Sanctity/Degradation,16,0
Claude Opus 4.5,English,civil_rights_liberties,Liberty/Oppression,32,0.34375
Claude Opus 4.5,English,economic_policy,Liberty/Oppression,4,1
Claude Opus 4.5,English,environment_energy,Liberty/Oppression,4,0
Claude Opus 4.5,English,governance_democracy,Liberty/Oppression,21,0.5714285714285715
Claude Opus 4.5,English,migration_nationalism,Liberty/Oppression,16,0.5625
Claude Opus 4.5,English,religion_state,Liberty/Oppression,4,1
Claude Opus 4.5,English,security_conflict,Liberty/Oppression,45,0.2666666666666667
Claude Opus 4.5,English,social_moral,Liberty/Oppression,8,0.75
Claude Opus 4.5,English,territorial_sovereignty,Liberty/Oppression,15,0.6
Claude Opus 4.5,Chinese,civil_rights_liberties,Liberty/Oppression,31,0.4193548387096774
Claude Opus 4.5,Chinese,economic_policy,Liberty/Oppression,4,0.75
Claude Opus 4.5,Chinese,environment_energy,Liberty/Oppression,4,0.25
Claude Opus 4.5,Chinese,governance_democracy,Liberty/Oppression,22,0.6363636363636364
Claude Opus 4.5,Chinese,migration_nationalism,Liberty/Oppression,16,0.6875
Claude Opus 4.5,Chinese,religion_state,Liberty/Oppression,4,1
Claude Opus 4.5,Chinese,security_conflict,Liberty/Oppression,50,0.23999999999999994
Claude Opus 4.5,Chinese,social_moral,Liberty/Oppression,8,0.5
Claude Opus 4.5,Chinese,territorial_sovereignty,Liberty/Oppression,16,0.6875
Claude Opus 4.5,Japanese,civil_rights_liberties,Liberty/Oppression,31,0.3548387096774193
Claude Opus 4.5,Japanese,economic_policy,Liberty/Oppression,4,1
Claude Opus 4.5,Japanese,environment_energy,Liberty/Oppression,4,0
Claude Opus 4.5,Japanese,governance_democracy,Liberty/Oppression,22,0.5909090909090909
Claude Opus 4.5,Japanese,migration_nationalism,Liberty/Oppression,15,0.6
Claude Opus 4.5,Japanese,religion_state,Liberty/Oppression,4,1
Claude Opus 4.5,Japanese,security_conflict,Liberty/Oppression,48,0.22916666666666669
Claude Opus 4.5,Japanese,social_moral,Liberty/Oppression,7,0.7142857142857143
Claude Opus 4.5,Japanese,territorial_sovereignty,Liberty/Oppression,15,0.6666666666666667
Claude Opus 4.5,Indonesian,civil_rights_liberties,Liberty/Oppression,32,0.40625
Claude Opus 4.5,Indonesian,economic_policy,Liberty/Oppression,4,0.5
Claude Opus 4.5,Indonesian,environment_energy,Liberty/Oppression,4,0
Claude Opus 4.5,Indonesian,governance_democracy,Liberty/Oppression,22,0.5
Claude Opus 4.5,Indonesian,migration_nationalism,Liberty/Oppression,15,0.7333333333333333
Claude Opus 4.5,Indonesian,religion_state,Liberty/Oppression,4,1
Claude Opus 4.5,Indonesian,security_conflict,Liberty/Oppression,47,0.17021276595744683
Claude Opus 4.5,Indonesian,social_moral,Liberty/Oppression,8,0.75
Claude Opus 4.5,Indonesian,territorial_sovereignty,Liberty/Oppression,15,0.7333333333333333
Claude Opus 4.5,Arabic,civil_rights_liberties,Liberty/Oppression,32,0.40625
Claude Opus 4.5,Arabic,economic_policy,Liberty/Oppression,4,1
Claude Opus 4.5,Arabic,environment_energy,Liberty/Oppression,4,0.25
Claude Opus 4.5,Arabic,governance_democracy,Liberty/Oppression,23,0.6956521739130435
Claude Opus 4.5,Arabic,migration_nationalism,Liberty/Oppression,16,0.6875
Claude Opus 4.5,Arabic,religion_state,Liberty/Oppression,4,0.75
Claude Opus 4.5,Arabic,security_conflict,Liberty/Oppression,49,0.28571428571428575
Claude Opus 4.5,Arabic,social_moral,Liberty/Oppression,8,0.875
Claude Opus 4.5,Arabic,territorial_sovereignty,Liberty/Oppression,16,0.75
GPT-4o,English,civil_rights_liberties,Care/Harm,32,0.46875
GPT-4o,English,economic_policy,Care/Harm,3,0.6666666666666666
GPT-4o,English,environment_energy,Care/Harm,4,1
GPT-4o,English,governance_democracy,Care/Harm,23,0.34782608695652173
GPT-4o,English,migration_nationalism,Care/Harm,16,0.375
GPT-4o,English,religion_state,Care/Harm,4,1
GPT-4o,English,security_conflict,Care/Harm,51,0.33333333333333337
GPT-4o,English,social_moral,Care/Harm,8,1
GPT-4o,English,territorial_sovereignty,Care/Harm,16,0.375
GPT-4o,Chinese,civil_rights_liberties,Care/Harm,32,0.40625
GPT-4o,Chinese,economic_policy,Care/Harm,4,1
GPT-4o,Chinese,environment_energy,Care/Harm,4,1
GPT-4o,Chinese,governance_democracy,Care/Harm,23,0.34782608695652173
GPT-4o,Chinese,migration_nationalism,Care/Harm,16,0.3125
GPT-4o,Chinese,religion_state,Care/Harm,4,1
GPT-4o,Chinese,security_conflict,Care/Harm,52,0.2884615384615385
GPT-4o,Chinese,social_moral,Care/Harm,8,0.75
GPT-4o,Chinese,territorial_sovereignty,Care/Harm,16,0.1875
GPT-4o,Japanese,civil_rights_liberties,Care/Harm,31,0.3548387096774194
GPT-4o,Japanese,economic_policy,Care/Harm,4,0.75
GPT-4o,Japanese,environment_energy,Care/Harm,4,0.75
GPT-4o,Japanese,governance_democracy,Care/Harm,24,0.33333333333333337
GPT-4o,Japanese,migration_nationalism,Care/Harm,16,0.1875
GPT-4o,Japanese,religion_state,Care/Harm,4,0.75
GPT-4o,Japanese,security_conflict,Care/Harm,50,0.36000000000000004
GPT-4o,Japanese,social_moral,Care/Harm,8,0.625
GPT-4o,Japanese,territorial_sovereignty,Care/Harm,16,0.4375
GPT-4o,Indonesian,civil_rights_liberties,Care/Harm,32,0.40625
GPT-4o,Indonesian,economic_policy,Care/Harm,4,0.75
GPT-4o,Indonesian,environment_energy,Care/Harm,4,0.75
GPT-4o,Indonesian,governance_democracy,Care/Harm,24,0.41666666666666663
GPT-4o,Indonesian,migration_nationalism,Care/Harm,16,0.375
GPT-4o,Indonesian,religion_state,Care/Harm,4,1
GPT-4o,Indonesian,security_conflict,Care/Harm,51,0.3529411764705882
GPT-4o,Indonesian,social_moral,Care/Harm,8,0.75
GPT-4o,Indonesian,territorial_sovereignty,Care/Harm,16,0.4375
GPT-4o,Arabic,civil_rights_liberties,Care/Harm,32,0.40625
GPT-4o,Arabic,economic_policy,Care/Harm,4,1
GPT-4o,Arabic,environment_energy,Care/Harm,4,0.75
GPT-4o,Arabic,governance_democracy,Care/Harm,23,0.4347826086956522
GPT-4o,Arabic,migration_nationalism,Care/Harm,16,0.25
GPT-4o,Arabic,religion_state,Care/Harm,4,1
GPT-4o,Arabic,security_conflict,Care/Harm,51,0.3529411764705882
GPT-4o,Arabic,social_moral,Care/Harm,8,0.75
GPT-4o,Arabic,territorial_sovereignty,Care/Harm,16,0.5
GPT-4o,English,civil_rights_liberties,Fairness/Cheating,32,0.65625
GPT-4o,English,economic_policy,Fairness/Cheating,3,0.6666666666666666
GPT-4o,English,environment_energy,Fairness/Cheating,4,0
GPT-4o,English,governance_democracy,Fairness/Cheating,23,0.6956521739130435
GPT-4o,English,migration_nationalism,Fairness/Cheating,16,0.5625
GPT-4o,English,religion_state,Fairness/Cheating,4,0
GPT-4o,English,security_conflict,Fairness/Cheating,51,0.2352941176470588
GPT-4o,English,social_moral,Fairness/Cheating,8,0.625
GPT-4o,English,territorial_sovereignty,Fairness/Cheating,16,0.8125
GPT-4o,Chinese,civil_rights_liberties,Fairness/Cheating,32,0.625
GPT-4o,Chinese,economic_policy,Fairness/Cheating,4,0.75
GPT-4o,Chinese,environment_energy,Fairness/Cheating,4,0
GPT-4o,Chinese,governance_democracy,Fairness/Cheating,23,0.5217391304347826
GPT-4o,Chinese,migration_nationalism,Fairness/Cheating,16,0.5
GPT-4o,Chinese,religion_state,Fairness/Cheating,4,0
GPT-4o,Chinese,security_conflict,Fairness/Cheating,52,0.21153846153846154
GPT-4o,Chinese,social_moral,Fairness/Cheating,8,0.875
GPT-4o,Chinese,territorial_sovereignty,Fairness/Cheating,16,0.8125
GPT-4o,Japanese,civil_rights_liberties,Fairness/Cheating,31,0.6129032258064516
GPT-4o,Japanese,economic_policy,Fairness/Cheating,4,0.75
GPT-4o,Japanese,environment_energy,Fairness/Cheating,4,0.25
GPT-4o,Japanese,governance_democracy,Fairness/Cheating,24,0.5416666666666666
GPT-4o,Japanese,migration_nationalism,Fairness/Cheating,16,0.4375
GPT-4o,Japanese,religion_state,Fairness/Cheating,4,0.25
GPT-4o,Japanese,security_conflict,Fairness/Cheating,50,0.32
GPT-4o,Japanese,social_moral,Fairness/Cheating,8,0.625
GPT-4o,Japanese,territorial_sovereignty,Fairness/Cheating,16,0.75
GPT-4o,Indonesian,civil_rights_liberties,Fairness/Cheating,32,0.71875
GPT-4o,Indonesian,economic_policy,Fairness/Cheating,4,0.75
GPT-4o,Indonesian,environment_energy,Fairness/Cheating,4,0
GPT-4o,Indonesian,governance_democracy,Fairness/Cheating,24,0.7083333333333334
GPT-4o,Indonesian,migration_nationalism,Fairness/Cheating,16,0.375
GPT-4o,Indonesian,religion_state,Fairness/Cheating,4,0.25
GPT-4o,Indonesian,security_conflict,Fairness/Cheating,51,0.2941176470588235
GPT-4o,Indonesian,social_moral,Fairness/Cheating,8,0.625
GPT-4o,Indonesian,territorial_sovereignty,Fairness/Cheating,16,0.75
GPT-4o,Arabic,civil_rights_liberties,Fairness/Cheating,32,0.75
GPT-4o,Arabic,economic_policy,Fairness/Cheating,4,1
GPT-4o,Arabic,environment_energy,Fairness/Cheating,4,0
GPT-4o,Arabic,governance_democracy,Fairness/Cheating,23,0.6086956521739131
GPT-4o,Arabic,migration_nationalism,Fairness/Cheating,16,0.4375
GPT-4o,Arabic,religion_state,Fairness/Cheating,4,0.25
GPT-4o,Arabic,security_conflict,Fairness/Cheating,51,0.2941176470588235
GPT-4o,Arabic,social_moral,Fairness/Cheating,8,0.75
GPT-4o,Arabic,territorial_sovereignty,Fairness/Cheating,16,0.8125
GPT-4o,English,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
GPT-4o,English,economic_policy,Loyalty/Betrayal,3,0
GPT-4o,English,environment_energy,Loyalty/Betrayal,4,0
GPT-4o,English,governance_democracy,Loyalty/Betrayal,23,0.13043478260869568
GPT-4o,English,migration_nationalism,Loyalty/Betrayal,16,0.1875
GPT-4o,English,religion_state,Loyalty/Betrayal,4,0
GPT-4o,English,security_conflict,Loyalty/Betrayal,51,0.19607843137254904
GPT-4o,English,social_moral,Loyalty/Betrayal,8,0
GPT-4o,English,territorial_sovereignty,Loyalty/Betrayal,16,0.0625
GPT-4o,Chinese,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
GPT-4o,Chinese,economic_policy,Loyalty/Betrayal,4,0
GPT-4o,Chinese,environment_energy,Loyalty/Betrayal,4,0
GPT-4o,Chinese,governance_democracy,Loyalty/Betrayal,23,0
GPT-4o,Chinese,migration_nationalism,Loyalty/Betrayal,16,0.1875
GPT-4o,Chinese,religion_state,Loyalty/Betrayal,4,0
GPT-4o,Chinese,security_conflict,Loyalty/Betrayal,52,0.19230769230769232
GPT-4o,Chinese,social_moral,Loyalty/Betrayal,8,0
GPT-4o,Chinese,territorial_sovereignty,Loyalty/Betrayal,16,0.125
GPT-4o,Japanese,civil_rights_liberties,Loyalty/Betrayal,31,0.12903225806451613
GPT-4o,Japanese,economic_policy,Loyalty/Betrayal,4,0
GPT-4o,Japanese,environment_energy,Loyalty/Betrayal,4,0
GPT-4o,Japanese,governance_democracy,Loyalty/Betrayal,24,0
GPT-4o,Japanese,migration_nationalism,Loyalty/Betrayal,16,0.125
GPT-4o,Japanese,religion_state,Loyalty/Betrayal,4,0
GPT-4o,Japanese,security_conflict,Loyalty/Betrayal,50,0.2
GPT-4o,Japanese,social_moral,Loyalty/Betrayal,8,0
GPT-4o,Japanese,territorial_sovereignty,Loyalty/Betrayal,16,0
GPT-4o,Indonesian,civil_rights_liberties,Loyalty/Betrayal,32,0.03125
GPT-4o,Indonesian,economic_policy,Loyalty/Betrayal,4,0
GPT-4o,Indonesian,environment_energy,Loyalty/Betrayal,4,0
GPT-4o,Indonesian,governance_democracy,Loyalty/Betrayal,24,0.04166666666666667
GPT-4o,Indonesian,migration_nationalism,Loyalty/Betrayal,16,0.1875
GPT-4o,Indonesian,religion_state,Loyalty/Betrayal,4,0
GPT-4o,Indonesian,security_conflict,Loyalty/Betrayal,51,0.1764705882352941
GPT-4o,Indonesian,social_moral,Loyalty/Betrayal,8,0
GPT-4o,Indonesian,territorial_sovereignty,Loyalty/Betrayal,16,0.0625
GPT-4o,Arabic,civil_rights_liberties,Loyalty/Betrayal,32,0.0625
GPT-4o,Arabic,economic_policy,Loyalty/Betrayal,4,0
GPT-4o,Arabic,environment_energy,Loyalty/Betrayal,4,0
GPT-4o,Arabic,governance_democracy,Loyalty/Betrayal,23,0.13043478260869565
GPT-4o,Arabic,migration_nationalism,Loyalty/Betrayal,16,0.25
GPT-4o,Arabic,religion_state,Loyalty/Betrayal,4,0
GPT-4o,Arabic,security_conflict,Loyalty/Betrayal,51,0.19607843137254904
GPT-4o,Arabic,social_moral,Loyalty/Betrayal,8,0
GPT-4o,Arabic,territorial_sovereignty,Loyalty/Betrayal,16,0.0625
GPT-4o,English,civil_rights_liberties,Authority/Subversion,32,0.09375
GPT-4o,English,economic_policy,Authority/Subversion,3,0
GPT-4o,English,environment_energy,Authority/Subversion,4,0
GPT-4o,English,governance_democracy,Authority/Subversion,23,0.2608695652173913
GPT-4o,English,migration_nationalism,Authority/Subversion,16,0.1875
GPT-4o,English,religion_state,Authority/Subversion,4,0
GPT-4o,English,security_conflict,Authority/Subversion,51,0.09803921568627451
GPT-4o,English,social_moral,Authority/Subversion,8,0
GPT-4o,English,territorial_sovereignty,Authority/Subversion,16,0.0625
GPT-4o,Chinese,civil_rights_liberties,Authority/Subversion,32,0.125
GPT-4o,Chinese,economic_policy,Authority/Subversion,4,0
GPT-4o,Chinese,environment_energy,Authority/Subversion,4,0
GPT-4o,Chinese,governance_democracy,Authority/Subversion,23,0.08695652173913043
GPT-4o,Chinese,migration_nationalism,Authority/Subversion,16,0.3125
GPT-4o,Chinese,religion_state,Authority/Subversion,4,0
GPT-4o,Chinese,security_conflict,Authority/Subversion,52,0.05769230769230768
GPT-4o,Chinese,social_moral,Authority/Subversion,8,0
GPT-4o,Chinese,territorial_sovereignty,Authority/Subversion,16,0.0625
GPT-4o,Japanese,civil_rights_liberties,Authority/Subversion,31,0.09677419354838708
GPT-4o,Japanese,economic_policy,Authority/Subversion,4,0
GPT-4o,Japanese,environment_energy,Authority/Subversion,4,0
GPT-4o,Japanese,governance_democracy,Authority/Subversion,24,0.125
GPT-4o,Japanese,migration_nationalism,Authority/Subversion,16,0.3125
GPT-4o,Japanese,religion_state,Authority/Subversion,4,0
GPT-4o,Japanese,security_conflict,Authority/Subversion,50,0.039999999999999994
GPT-4o,Japanese,social_moral,Authority/Subversion,8,0
GPT-4o,Japanese,territorial_sovereignty,Authority/Subversion,16,0.1875
GPT-4o,Indonesian,civil_rights_liberties,Authority/Subversion,32,0.09375
GPT-4o,Indonesian,economic_policy,Authority/Subversion,4,0
GPT-4o,Indonesian,environment_energy,Authority/Subversion,4,0
GPT-4o,Indonesian,governance_democracy,Authority/Subversion,24,0.16666666666666669
GPT-4o,Indonesian,migration_nationalism,Authority/Subversion,16,0.1875
GPT-4o,Indonesian,religion_state,Authority/Subversion,4,0
GPT-4o,Indonesian,security_conflict,Authority/Subversion,51,0
GPT-4o,Indonesian,social_moral,Authority/Subversion,8,0
GPT-4o,Indonesian,territorial_sovereignty,Authority/Subversion,16,0.1875
GPT-4o,Arabic,civil_rights_liberties,Authority/Subversion,32,0.125
GPT-4o,Arabic,economic_policy,Authority/Subversion,4,0
GPT-4o,Arabic,environment_energy,Authority/Subversion,4,0
GPT-4o,Arabic,governance_democracy,Authority/Subversion,23,0.04347826086956523
GPT-4o,Arabic,migration_nationalism,Authority/Subversion,16,0.3125
GPT-4o,Arabic,religion_state,Authority/Subversion,4,0
GPT-4o,Arabic,security_conflict,Authority/Subversion,51,0.01960784313725489
GPT-4o,Arabic,social_moral,Authority/Subversion,8,0
GPT-4o,Arabic,territorial_sovereignty,Authority/Subversion,16,0.0625
GPT-4o,English,civil_rights_liberties,Sanctity/Degradation,32,0.0625
GPT-4o,English,economic_policy,Sanctity/Degradation,3,0
GPT-4o,English,environment_energy,Sanctity/Degradation,4,0
GPT-4o,English,governance_democracy,Sanctity/Degradation,23,0.04347826086956523
GPT-4o,English,migration_nationalism,Sanctity/Degradation,16,0.0625
GPT-4o,English,religion_state,Sanctity/Degradation,4,0
GPT-4o,English,security_conflict,Sanctity/Degradation,51,0.0196078431372549
GPT-4o,English,social_moral,Sanctity/Degradation,8,0
GPT-4o,English,territorial_sovereignty,Sanctity/Degradation,16,0
GPT-4o,Chinese,civil_rights_liberties,Sanctity/Degradation,32,0.03125
GPT-4o,Chinese,economic_policy,Sanctity/Degradation,4,0
GPT-4o,Chinese,environment_energy,Sanctity/Degradation,4,0
GPT-4o,Chinese,governance_democracy,Sanctity/Degradation,23,0
GPT-4o,Chinese,migration_nationalism,Sanctity/Degradation,16,0
GPT-4o,Chinese,religion_state,Sanctity/Degradation,4,0
GPT-4o,Chinese,security_conflict,Sanctity/Degradation,52,0.07692307692307696
GPT-4o,Chinese,social_moral,Sanctity/Degradation,8,0.125
GPT-4o,Chinese,territorial_sovereignty,Sanctity/Degradation,16,0
GPT-4o,Japanese,civil_rights_liberties,Sanctity/Degradation,31,0.032258064516129045
GPT-4o,Japanese,economic_policy,Sanctity/Degradation,4,0
GPT-4o,Japanese,environment_energy,Sanctity/Degradation,4,0
GPT-4o,Japanese,governance_democracy,Sanctity/Degradation,24,0.04166666666666668
GPT-4o,Japanese,migration_nationalism,Sanctity/Degradation,16,0
GPT-4o,Japanese,religion_state,Sanctity/Degradation,4,0
GPT-4o,Japanese,security_conflict,Sanctity/Degradation,50,0.04
GPT-4o,Japanese,social_moral,Sanctity/Degradation,8,0
GPT-4o,Japanese,territorial_sovereignty,Sanctity/Degradation,16,0
GPT-4o,Indonesian,civil_rights_liberties,Sanctity/Degradation,32,0
GPT-4o,Indonesian,economic_policy,Sanctity/Degradation,4,0
GPT-4o,Indonesian,environment_energy,Sanctity/Degradation,4,0
