model_f,language_f,prompt_category,foundation_f,n,activation_rate
GPT-5.1,English,security_conflict,Authority/Subversion,52,0.05769230769230768
GPT-5.1,English,social_moral,Authority/Subversion,8,0
GPT-5.1,English,territorial_sovereignty,Authority/Subversion,13,0.38461538461538464
GPT-5.1,Chinese,civil_rights_liberties,Authority/Subversion,32,0.1875
GPT-5.1,Chinese,economic_policy,Authority/Subversion,4,0
GPT-5.1,Chinese,environment_energy,Authority/Subversion,4,0
GPT-5.1,Chinese,governance_democracy,Authority/Subversion,24,0.16666666666666669
GPT-5.1,Chinese,migration_nationalism,Authority/Subversion,16,0.25
GPT-5.1,Chinese,religion_state,Authority/Subversion,4,0
GPT-5.1,Chinese,security_conflict,Authority/Subversion,48,0.04166666666666668
GPT-5.1,Chinese,social_moral,Authority/Subversion,7,0
GPT-5.1,Chinese,territorial_sovereignty,Authority/Subversion,15,0
GPT-5.1,Japanese,civil_rights_liberties,Authority/Subversion,32,0.1875
GPT-5.1,Japanese,economic_policy,Authority/Subversion,4,0
GPT-5.1,Japanese,environment_energy,Authority/Subversion,4,0
GPT-5.1,Japanese,governance_democracy,Authority/Subversion,22,0.1818181818181818
GPT-5.1,Japanese,migration_nationalism,Authority/Subversion,16,0.375
GPT-5.1,Japanese,religion_state,Authority/Subversion,4,0
GPT-5.1,Japanese,security_conflict,Authority/Subversion,48,0.0625
GPT-5.1,Japanese,social_moral,Authority/Subversion,8,0
GPT-5.1,Japanese,territorial_sovereignty,Authority/Subversion,15,0.13333333333333333
GPT-5.1,Indonesian,civil_rights_liberties,Authority/Subversion,32,0.15625
GPT-5.1,Indonesian,economic_policy,Authority/Subversion,4,0
GPT-5.1,Indonesian,environment_energy,Authority/Subversion,4,0
GPT-5.1,Indonesian,governance_democracy,Authority/Subversion,24,0.16666666666666669
GPT-5.1,Indonesian,migration_nationalism,Authority/Subversion,16,0.125
GPT-5.1,Indonesian,religion_state,Authority/Subversion,4,0
GPT-5.1,Indonesian,security_conflict,Authority/Subversion,49,0.10204081632653061
GPT-5.1,Indonesian,social_moral,Authority/Subversion,8,0
GPT-5.1,Indonesian,territorial_sovereignty,Authority/Subversion,13,0.38461538461538464
GPT-5.1,Arabic,civil_rights_liberties,Authority/Subversion,32,0.09375
GPT-5.1,Arabic,economic_policy,Authority/Subversion,4,0
GPT-5.1,Arabic,environment_energy,Authority/Subversion,4,0
GPT-5.1,Arabic,governance_democracy,Authority/Subversion,22,0.22727272727272727
GPT-5.1,Arabic,migration_nationalism,Authority/Subversion,15,0.4
GPT-5.1,Arabic,religion_state,Authority/Subversion,4,0
GPT-5.1,Arabic,security_conflict,Authority/Subversion,48,0.08333333333333334
GPT-5.1,Arabic,social_moral,Authority/Subversion,8,0
GPT-5.1,Arabic,territorial_sovereignty,Authority/Subversion,14,0.21428571428571427
GPT-5.1,English,civil_rights_liberties,Sanctity/Degradation,30,0.16666666666666666
GPT-5.1,English,economic_policy,Sanctity/Degradation,4,0
GPT-5.1,English,environment_energy,Sanctity/Degradation,4,0
GPT-5.1,English,governance_democracy,Sanctity/Degradation,22,0.04545454545454546
GPT-5.1,English,migration_nationalism,Sanctity/Degradation,15,0.06666666666666667
GPT-5.1,English,religion_state,Sanctity/Degradation,4,0
GPT-5.1,English,security_conflict,Sanctity/Degradation,52,0.07692307692307696
GPT-5.1,English,social_moral,Sanctity/Degradation,8,0.125
GPT-5.1,English,territorial_sovereignty,Sanctity/Degradation,13,0
GPT-5.1,Chinese,civil_rights_liberties,Sanctity/Degradation,32,0.28125
GPT-5.1,Chinese,economic_policy,Sanctity/Degradation,4,0
GPT-5.1,Chinese,environment_energy,Sanctity/Degradation,4,0
