model_f,prompt_category,dataset_type_f,dimension_f,n,mean_score,sd_score
DeepSeek V3.1,governance_democracy,Regular Prompts,Economic L-R,52,0,0
DeepSeek V3.1,governance_democracy,Boundary Prompts,Economic L-R,58,0,0
DeepSeek V3.1,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
DeepSeek V3.1,migration_nationalism,Boundary Prompts,Economic L-R,40,0.075,0.4167948520770727
DeepSeek V3.1,religion_state,Regular Prompts,Economic L-R,10,0,0
DeepSeek V3.1,religion_state,Boundary Prompts,Economic L-R,10,0,0
DeepSeek V3.1,security_conflict,Regular Prompts,Economic L-R,113,0,0
DeepSeek V3.1,security_conflict,Boundary Prompts,Economic L-R,120,-0.041666666666666664,0.2006641633241397
DeepSeek V3.1,social_moral,Regular Prompts,Economic L-R,20,0,0
DeepSeek V3.1,social_moral,Boundary Prompts,Economic L-R,20,0.05,0.22360679774997885
DeepSeek V3.1,territorial_sovereignty,Regular Prompts,Economic L-R,30,0,0
DeepSeek V3.1,territorial_sovereignty,Boundary Prompts,Economic L-R,38,0.10526315789473684,0.3110117477759048
DeepSeek V3.1,civil_rights_liberties,Regular Prompts,Social L-R,79,-0.20253164556962025,0.43499916992090126
DeepSeek V3.1,civil_rights_liberties,Boundary Prompts,Social L-R,78,-0.28205128205128205,0.70060152072522
DeepSeek V3.1,economic_policy,Regular Prompts,Social L-R,10,0,0
DeepSeek V3.1,economic_policy,Boundary Prompts,Social L-R,10,0,0
DeepSeek V3.1,environment_energy,Regular Prompts,Social L-R,10,0,0
DeepSeek V3.1,environment_energy,Boundary Prompts,Social L-R,10,-0.1,0.31622776601683794
DeepSeek V3.1,governance_democracy,Regular Prompts,Social L-R,52,-0.038461538461538464,0.1941839093451544
DeepSeek V3.1,governance_democracy,Boundary Prompts,Social L-R,58,-0.034482758620689655,0.5608739183890605
DeepSeek V3.1,migration_nationalism,Regular Prompts,Social L-R,40,-0.275,0.4522025867763023
DeepSeek V3.1,migration_nationalism,Boundary Prompts,Social L-R,40,-0.225,0.8911962574151495
DeepSeek V3.1,religion_state,Regular Prompts,Social L-R,10,0,0
DeepSeek V3.1,religion_state,Boundary Prompts,Social L-R,10,-0.3,0.6749485577105528
DeepSeek V3.1,security_conflict,Regular Prompts,Social L-R,113,-0.08849557522123894,0.3909128995946962
DeepSeek V3.1,security_conflict,Boundary Prompts,Social L-R,120,-0.016666666666666666,0.3662972419603875
DeepSeek V3.1,social_moral,Regular Prompts,Social L-R,20,-0.05,0.22360679774997888
DeepSeek V3.1,social_moral,Boundary Prompts,Social L-R,20,0.05,0.887041208323017
DeepSeek V3.1,territorial_sovereignty,Regular Prompts,Social L-R,30,0,0
DeepSeek V3.1,territorial_sovereignty,Boundary Prompts,Social L-R,38,0,0.5198752449100363
DeepSeek V3.1,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,79,-0.12658227848101267,0.33462909461667023
DeepSeek V3.1,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,78,-0.23076923076923078,0.5564982566821836
DeepSeek V3.1,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,-0.2,0.4216370213557839
DeepSeek V3.1,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,-0.1,0.9944289260117531
DeepSeek V3.1,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.5,0.5270462766947299
DeepSeek V3.1,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.1,0.8755950357709131
DeepSeek V3.1,governance_democracy,Regular Prompts,Authoritarian-Libertarian,52,-0.15384615384615385,0.3643213074786545
DeepSeek V3.1,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,58,-0.3103448275862069,0.5028653529707438
DeepSeek V3.1,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.225,0.42290206176626044
DeepSeek V3.1,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,40,-0.225,0.6196566460342042
DeepSeek V3.1,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0,0
DeepSeek V3.1,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0.1,0.5676462121975466
DeepSeek V3.1,security_conflict,Regular Prompts,Authoritarian-Libertarian,113,-0.061946902654867256,0.2765600503348481
DeepSeek V3.1,security_conflict,Boundary Prompts,Authoritarian-Libertarian,120,-0.06666666666666667,0.25048971643405954
DeepSeek V3.1,social_moral,Regular Prompts,Authoritarian-Libertarian,20,0.05,0.22360679774997888
DeepSeek V3.1,social_moral,Boundary Prompts,Authoritarian-Libertarian,20,0.05,0.7591546545162482
DeepSeek V3.1,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,30,-0.03333333333333333,0.1825741858350553
DeepSeek V3.1,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,38,0,0.23249527748763857
DeepSeek V3.1,civil_rights_liberties,Regular Prompts,Populist-Elitist,79,-0.17721518987341772,0.3842906776055261
DeepSeek V3.1,civil_rights_liberties,Boundary Prompts,Populist-Elitist,78,-0.2564102564102564,0.5206364096586705
DeepSeek V3.1,economic_policy,Regular Prompts,Populist-Elitist,10,-0.3,0.48304589153964794
DeepSeek V3.1,economic_policy,Boundary Prompts,Populist-Elitist,10,-0.1,0.9944289260117533
DeepSeek V3.1,environment_energy,Regular Prompts,Populist-Elitist,10,-0.2,0.4216370213557839
DeepSeek V3.1,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.2,0.7888106377466154
DeepSeek V3.1,governance_democracy,Regular Prompts,Populist-Elitist,52,-0.019230769230769232,0.13867504905630734
DeepSeek V3.1,governance_democracy,Boundary Prompts,Populist-Elitist,58,-0.13793103448275862,0.34783923802698247
DeepSeek V3.1,migration_nationalism,Regular Prompts,Populist-Elitist,40,-0.2,0.40509574683346666
DeepSeek V3.1,migration_nationalism,Boundary Prompts,Populist-Elitist,40,-0.275,0.6400120191179106
DeepSeek V3.1,religion_state,Regular Prompts,Populist-Elitist,10,0,0
DeepSeek V3.1,religion_state,Boundary Prompts,Populist-Elitist,10,0,0
DeepSeek V3.1,security_conflict,Regular Prompts,Populist-Elitist,113,-0.02654867256637168,0.2095989789689568
DeepSeek V3.1,security_conflict,Boundary Prompts,Populist-Elitist,120,-0.11666666666666667,0.3223686843157241
DeepSeek V3.1,social_moral,Regular Prompts,Populist-Elitist,20,0,0
DeepSeek V3.1,social_moral,Boundary Prompts,Populist-Elitist,20,0,0
DeepSeek V3.1,territorial_sovereignty,Regular Prompts,Populist-Elitist,30,-0.06666666666666667,0.2537081317024625
DeepSeek V3.1,territorial_sovereignty,Boundary Prompts,Populist-Elitist,38,0.05263157894736842,0.5171318207738711
Qwen3-Max,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
Qwen3-Max,civil_rights_liberties,Boundary Prompts,Economic L-R,79,-0.02531645569620253,0.158088221418863
Qwen3-Max,economic_policy,Regular Prompts,Economic L-R,10,-0.6,0.5163977794943222
Qwen3-Max,economic_policy,Boundary Prompts,Economic L-R,10,-0.5,1.5811388300841898
Qwen3-Max,environment_energy,Regular Prompts,Economic L-R,10,-0.3,0.4830458915396479
Qwen3-Max,environment_energy,Boundary Prompts,Economic L-R,10,0.1,0.9944289260117531
Qwen3-Max,governance_democracy,Regular Prompts,Economic L-R,58,0,0
Qwen3-Max,governance_democracy,Boundary Prompts,Economic L-R,60,0,0
Qwen3-Max,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
Qwen3-Max,migration_nationalism,Boundary Prompts,Economic L-R,40,0.1,0.3789323733725365
Qwen3-Max,religion_state,Regular Prompts,Economic L-R,10,0,0
Qwen3-Max,religion_state,Boundary Prompts,Economic L-R,10,0,0
Qwen3-Max,security_conflict,Regular Prompts,Economic L-R,128,0,0
Qwen3-Max,security_conflict,Boundary Prompts,Economic L-R,129,-0.031007751937984496,0.2142568732898388
Qwen3-Max,social_moral,Regular Prompts,Economic L-R,20,0,0
Qwen3-Max,social_moral,Boundary Prompts,Economic L-R,20,0,0
Qwen3-Max,territorial_sovereignty,Regular Prompts,Economic L-R,39,0,0
Qwen3-Max,territorial_sovereignty,Boundary Prompts,Economic L-R,40,0.075,0.2667467828369186
Qwen3-Max,civil_rights_liberties,Regular Prompts,Social L-R,80,-0.275,0.4493314302129503
Qwen3-Max,civil_rights_liberties,Boundary Prompts,Social L-R,79,-0.3291139240506329,0.7799000426968238
Qwen3-Max,economic_policy,Regular Prompts,Social L-R,10,0,0
Qwen3-Max,economic_policy,Boundary Prompts,Social L-R,10,0,0
Qwen3-Max,environment_energy,Regular Prompts,Social L-R,10,0,0
Qwen3-Max,environment_energy,Boundary Prompts,Social L-R,10,-0.1,0.31622776601683794
Qwen3-Max,governance_democracy,Regular Prompts,Social L-R,58,-0.06896551724137931,0.2556085937053832
Qwen3-Max,governance_democracy,Boundary Prompts,Social L-R,60,-0.03333333333333333,0.5513209612012654
Qwen3-Max,migration_nationalism,Regular Prompts,Social L-R,40,-0.35,0.5795665931516724
Qwen3-Max,migration_nationalism,Boundary Prompts,Social L-R,40,-0.15,1.0012812305062464
Qwen3-Max,religion_state,Regular Prompts,Social L-R,10,0,0
Qwen3-Max,religion_state,Boundary Prompts,Social L-R,10,-0.2,0.7888106377466154
Qwen3-Max,security_conflict,Regular Prompts,Social L-R,128,-0.0703125,0.358992328784313
Qwen3-Max,security_conflict,Boundary Prompts,Social L-R,129,0.06201550387596899,0.4801031462173021
Qwen3-Max,social_moral,Regular Prompts,Social L-R,20,-0.35,0.4893604849295928
Qwen3-Max,social_moral,Boundary Prompts,Social L-R,20,-0.2,0.8944271909999161
Qwen3-Max,territorial_sovereignty,Regular Prompts,Social L-R,39,-0.10256410256410256,0.3073547406047282
Qwen3-Max,territorial_sovereignty,Boundary Prompts,Social L-R,40,0.025,0.5304811555656397
Qwen3-Max,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,80,-0.1,0.3018927632559763
Qwen3-Max,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,79,-0.26582278481012656,0.6141256189774633
Qwen3-Max,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,-0.4,0.5163977794943222
Qwen3-Max,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,0,1.0540925533894598
Qwen3-Max,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.5,0.5270462766947299
Qwen3-Max,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.2,0.7888106377466154
Qwen3-Max,governance_democracy,Regular Prompts,Authoritarian-Libertarian,58,-0.1206896551724138,0.32861144371999373
Qwen3-Max,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,60,-0.2833333333333333,0.49030141772789965
Qwen3-Max,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.2,0.40509574683346666
Qwen3-Max,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,40,-0.25,0.49354811679282456
Qwen3-Max,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0,0
Qwen3-Max,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0.2,0.6324555320336759
Qwen3-Max,security_conflict,Regular Prompts,Authoritarian-Libertarian,128,-0.0703125,0.3363442591005847
Qwen3-Max,security_conflict,Boundary Prompts,Authoritarian-Libertarian,129,-0.06201550387596899,0.32480614373461564
Qwen3-Max,social_moral,Regular Prompts,Authoritarian-Libertarian,20,-0.05,0.22360679774997885
Qwen3-Max,social_moral,Boundary Prompts,Authoritarian-Libertarian,20,0.05,0.8255779474818965
Qwen3-Max,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,39,0.02564102564102564,0.16012815380508724
Qwen3-Max,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,40,-0.025,0.2761920550668524
Qwen3-Max,civil_rights_liberties,Regular Prompts,Populist-Elitist,80,-0.2,0.4025236843413015
Qwen3-Max,civil_rights_liberties,Boundary Prompts,Populist-Elitist,79,-0.26582278481012656,0.5479299215788237
Qwen3-Max,economic_policy,Regular Prompts,Populist-Elitist,10,-0.5,0.5270462766947299
Qwen3-Max,economic_policy,Boundary Prompts,Populist-Elitist,10,-0.2,0.9189365834726814
Qwen3-Max,environment_energy,Regular Prompts,Populist-Elitist,10,-0.3,0.4830458915396479
Qwen3-Max,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.2,0.7888106377466155
Qwen3-Max,governance_democracy,Regular Prompts,Populist-Elitist,58,-0.034482758620689655,0.1840592240099195
Qwen3-Max,governance_democracy,Boundary Prompts,Populist-Elitist,60,-0.18333333333333332,0.4314605336417175
Qwen3-Max,migration_nationalism,Regular Prompts,Populist-Elitist,40,-0.175,0.3848076442547924
Qwen3-Max,migration_nationalism,Boundary Prompts,Populist-Elitist,40,-0.25,0.6698641270570836
Qwen3-Max,religion_state,Regular Prompts,Populist-Elitist,10,0,0
Qwen3-Max,religion_state,Boundary Prompts,Populist-Elitist,10,-0.1,0.31622776601683794
Qwen3-Max,security_conflict,Regular Prompts,Populist-Elitist,128,-0.0390625,0.1945049743306584
Qwen3-Max,security_conflict,Boundary Prompts,Populist-Elitist,129,-0.08527131782945736,0.39589707769069366
Qwen3-Max,social_moral,Regular Prompts,Populist-Elitist,20,-0.2,0.41039134083406165
Qwen3-Max,social_moral,Boundary Prompts,Populist-Elitist,20,-0.1,0.30779350562554625
Qwen3-Max,territorial_sovereignty,Regular Prompts,Populist-Elitist,39,-0.10256410256410256,0.3073547406047282
Qwen3-Max,territorial_sovereignty,Boundary Prompts,Populist-Elitist,40,0,0.5063696835418333
Mistral Large 2512,civil_rights_liberties,Regular Prompts,Economic L-R,80,0,0
Mistral Large 2512,civil_rights_liberties,Boundary Prompts,Economic L-R,80,-0.05,0.21932000780317507
Mistral Large 2512,economic_policy,Regular Prompts,Economic L-R,10,-0.6,0.5163977794943222
Mistral Large 2512,economic_policy,Boundary Prompts,Economic L-R,10,-0.3,1.8287822299126937
Mistral Large 2512,environment_energy,Regular Prompts,Economic L-R,10,-0.3,0.4830458915396479
Mistral Large 2512,environment_energy,Boundary Prompts,Economic L-R,10,0.3,0.8232726023485646
Mistral Large 2512,governance_democracy,Regular Prompts,Economic L-R,60,0,0
Mistral Large 2512,governance_democracy,Boundary Prompts,Economic L-R,60,0,0
Mistral Large 2512,migration_nationalism,Regular Prompts,Economic L-R,40,0,0
Mistral Large 2512,migration_nationalism,Boundary Prompts,Economic L-R,40,0.05,0.4500712194354386
Mistral Large 2512,religion_state,Regular Prompts,Economic L-R,10,0,0
Mistral Large 2512,religion_state,Boundary Prompts,Economic L-R,10,0,0
Mistral Large 2512,security_conflict,Regular Prompts,Economic L-R,130,0,0
Mistral Large 2512,security_conflict,Boundary Prompts,Economic L-R,130,-0.03076923076923077,0.17335993557615775
Mistral Large 2512,social_moral,Regular Prompts,Economic L-R,20,0,0
Mistral Large 2512,social_moral,Boundary Prompts,Economic L-R,20,0,0
Mistral Large 2512,territorial_sovereignty,Regular Prompts,Economic L-R,40,0,0
Mistral Large 2512,territorial_sovereignty,Boundary Prompts,Economic L-R,40,0.1,0.3038218101250999
Mistral Large 2512,civil_rights_liberties,Regular Prompts,Social L-R,80,-0.275,0.4493314302129503
Mistral Large 2512,civil_rights_liberties,Boundary Prompts,Social L-R,80,-0.2625,0.775311289055376
Mistral Large 2512,economic_policy,Regular Prompts,Social L-R,10,0,0
Mistral Large 2512,economic_policy,Boundary Prompts,Social L-R,10,-0.1,0.31622776601683794
Mistral Large 2512,environment_energy,Regular Prompts,Social L-R,10,0,0
Mistral Large 2512,environment_energy,Boundary Prompts,Social L-R,10,-0.3,0.4830458915396479
Mistral Large 2512,governance_democracy,Regular Prompts,Social L-R,60,-0.03333333333333333,0.1810203347193924
Mistral Large 2512,governance_democracy,Boundary Prompts,Social L-R,60,-0.15,0.6593525329532488
Mistral Large 2512,migration_nationalism,Regular Prompts,Social L-R,40,-0.35,0.5795665931516724
Mistral Large 2512,migration_nationalism,Boundary Prompts,Social L-R,40,-0.225,0.9736924170788859
Mistral Large 2512,religion_state,Regular Prompts,Social L-R,10,-0.1,0.31622776601683794
Mistral Large 2512,religion_state,Boundary Prompts,Social L-R,10,-0.4,0.5163977794943222
Mistral Large 2512,security_conflict,Regular Prompts,Social L-R,130,-0.06153846153846154,0.34671987115231545
Mistral Large 2512,security_conflict,Boundary Prompts,Social L-R,130,-0.015384615384615385,0.465634773612472
Mistral Large 2512,social_moral,Regular Prompts,Social L-R,20,-0.2,0.41039134083406165
Mistral Large 2512,social_moral,Boundary Prompts,Social L-R,20,0,1.0760551736979407
Mistral Large 2512,territorial_sovereignty,Regular Prompts,Social L-R,40,-0.1,0.3038218101250999
Mistral Large 2512,territorial_sovereignty,Boundary Prompts,Social L-R,40,-0.05,0.552384110133705
Mistral Large 2512,civil_rights_liberties,Regular Prompts,Authoritarian-Libertarian,80,-0.1375,0.346547163758212
Mistral Large 2512,civil_rights_liberties,Boundary Prompts,Authoritarian-Libertarian,80,-0.2625,0.6109496654151524
Mistral Large 2512,economic_policy,Regular Prompts,Authoritarian-Libertarian,10,-0.5,0.5270462766947299
Mistral Large 2512,economic_policy,Boundary Prompts,Authoritarian-Libertarian,10,0,1.0540925533894598
Mistral Large 2512,environment_energy,Regular Prompts,Authoritarian-Libertarian,10,-0.5,0.5270462766947299
Mistral Large 2512,environment_energy,Boundary Prompts,Authoritarian-Libertarian,10,-0.4,0.5163977794943222
Mistral Large 2512,governance_democracy,Regular Prompts,Authoritarian-Libertarian,60,-0.11666666666666667,0.3237317715130936
Mistral Large 2512,governance_democracy,Boundary Prompts,Authoritarian-Libertarian,60,-0.36666666666666664,0.4859611014169708
Mistral Large 2512,migration_nationalism,Regular Prompts,Authoritarian-Libertarian,40,-0.175,0.3848076442547925
Mistral Large 2512,migration_nationalism,Boundary Prompts,Authoritarian-Libertarian,40,-0.3,0.5163977794943222
Mistral Large 2512,religion_state,Regular Prompts,Authoritarian-Libertarian,10,0,0
Mistral Large 2512,religion_state,Boundary Prompts,Authoritarian-Libertarian,10,0,0.4714045207910317
Mistral Large 2512,security_conflict,Regular Prompts,Authoritarian-Libertarian,130,-0.06923076923076923,0.3338398060450246
Mistral Large 2512,security_conflict,Boundary Prompts,Authoritarian-Libertarian,130,-0.09230769230769231,0.3161334681867952
Mistral Large 2512,social_moral,Regular Prompts,Authoritarian-Libertarian,20,-0.05,0.22360679774997885
Mistral Large 2512,social_moral,Boundary Prompts,Authoritarian-Libertarian,20,-0.15,0.8127277008872492
Mistral Large 2512,territorial_sovereignty,Regular Prompts,Authoritarian-Libertarian,40,0,0
Mistral Large 2512,territorial_sovereignty,Boundary Prompts,Authoritarian-Libertarian,40,-0.025,0.15811388300841894
Mistral Large 2512,civil_rights_liberties,Regular Prompts,Populist-Elitist,80,-0.225,0.4202169421632268
Mistral Large 2512,civil_rights_liberties,Boundary Prompts,Populist-Elitist,80,-0.2375,0.5092498827078652
Mistral Large 2512,economic_policy,Regular Prompts,Populist-Elitist,10,-0.5,0.5270462766947299
Mistral Large 2512,economic_policy,Boundary Prompts,Populist-Elitist,10,-0.2,0.9189365834726814
Mistral Large 2512,environment_energy,Regular Prompts,Populist-Elitist,10,-0.3,0.4830458915396479
Mistral Large 2512,environment_energy,Boundary Prompts,Populist-Elitist,10,-0.4,0.5163977794943222
Mistral Large 2512,governance_democracy,Regular Prompts,Populist-Elitist,60,0,0
Mistral Large 2512,governance_democracy,Boundary Prompts,Populist-Elitist,60,-0.18333333333333332,0.3902049294994232
Mistral Large 2512,migration_nationalism,Regular Prompts,Populist-Elitist,40,-0.15,0.36162028533978946
Mistral Large 2512,migration_nationalism,Boundary Prompts,Populist-Elitist,40,-0.275,0.715667162289487
Mistral Large 2512,religion_state,Regular Prompts,Populist-Elitist,10,0,0
Mistral Large 2512,religion_state,Boundary Prompts,Populist-Elitist,10,-0.1,0.31622776601683794
Mistral Large 2512,security_conflict,Regular Prompts,Populist-Elitist,130,-0.038461538461538464,0.19305163199975772
Mistral Large 2512,security_conflict,Boundary Prompts,Populist-Elitist,130,-0.13846153846153847,0.34671987115231534
Mistral Large 2512,social_moral,Regular Prompts,Populist-Elitist,20,-0.05,0.22360679774997885
Mistral Large 2512,social_moral,Boundary Prompts,Populist-Elitist,20,-0.05,0.22360679774997885
Mistral Large 2512,territorial_sovereignty,Regular Prompts,Populist-Elitist,40,-0.1,0.3038218101250999
Mistral Large 2512,territorial_sovereignty,Boundary Prompts,Populist-Elitist,40,-0.1,0.4961389383568337
