model_f,dataset_type_f,dimension_f,n,mean_score,sd_score,se_score
Grok 4.3,Boundary Prompts,Social L-R,395,-0.010126582278481013,0.6795779028693014,0.03419327515748584
Grok 4.3,Regular Prompts,Authoritarian-Libertarian,398,-0.05025125628140704,0.41688231996714303,0.02089642251974214
Grok 4.3,Boundary Prompts,Authoritarian-Libertarian,395,-0.09873417721518987,0.5725297125900947,0.02880709616332896
Grok 4.3,Regular Prompts,Populist-Elitist,398,-0.04020100502512563,0.3800993636482964,0.019052659520091737
Grok 4.3,Boundary Prompts,Populist-Elitist,395,-0.08860759493670886,0.5233112413011195,0.02633064611321835
DeepSeek V3.1,Regular Prompts,Economic L-R,364,-0.02197802197802198,0.14681349860413168,0.007695118220640288
DeepSeek V3.1,Boundary Prompts,Economic L-R,384,0.0026041666666666665,0.38576970576158204,0.019686227861239167
DeepSeek V3.1,Regular Prompts,Social L-R,364,-0.10989010989010989,0.3544459674107782,0.0185780166536975
DeepSeek V3.1,Boundary Prompts,Social L-R,384,-0.09895833333333333,0.6007818737929401,0.030658521614705517
DeepSeek V3.1,Regular Prompts,Authoritarian-Libertarian,364,-0.11263736263736264,0.33353383005366893,0.01748192282895232
DeepSeek V3.1,Boundary Prompts,Authoritarian-Libertarian,384,-0.13802083333333334,0.5050266798353494,0.025772034835177763
DeepSeek V3.1,Regular Prompts,Populist-Elitist,364,-0.09065934065934066,0.2969460801906807,0.015564203659395068
DeepSeek V3.1,Boundary Prompts,Populist-Elitist,384,-0.140625,0.46944845700662474,0.023956441254231606
Qwen3-Max,Regular Prompts,Economic L-R,395,-0.02278481012658228,0.14940607212550405,0.007517435326865026
Qwen3-Max,Boundary Prompts,Economic L-R,398,-0.007537688442211055,0.3583385497099718,0.01796188847836331
Qwen3-Max,Regular Prompts,Social L-R,395,-0.1518987341772152,0.39951136381926505,0.02010159826259362
Qwen3-Max,Boundary Prompts,Social L-R,398,-0.08040201005025126,0.6647420205236427,0.03332050668059982
Qwen3-Max,Regular Prompts,Authoritarian-Libertarian,395,-0.10379746835443038,0.33699291214536664,0.016955953574207212
Qwen3-Max,Boundary Prompts,Authoritarian-Libertarian,398,-0.1407035175879397,0.5218659676575815,0.026158777277257544
Qwen3-Max,Regular Prompts,Populist-Elitist,395,-0.11645569620253164,0.32117739446833987,0.016160188518566987
Qwen3-Max,Boundary Prompts,Populist-Elitist,398,-0.1507537688442211,0.5042758577691692,0.025277064739230196
Mistral Large 2512,Regular Prompts,Economic L-R,400,-0.0225,0.14848862643465857,0.007424431321732929
Mistral Large 2512,Boundary Prompts,Economic L-R,400,-0.005,0.3812326663137124,0.019061633315685618
Mistral Large 2512,Regular Prompts,Social L-R,400,-0.1375,0.385961352227829,0.01929806761139145
Mistral Large 2512,Boundary Prompts,Social L-R,400,-0.1275,0.6763040869646667,0.03381520434823333
Mistral Large 2512,Regular Prompts,Authoritarian-Libertarian,400,-0.1125,0.3393104462691471,0.016965522313457354
Mistral Large 2512,Boundary Prompts,Authoritarian-Libertarian,400,-0.1875,0.5029673851018478,0.02514836925509239
Mistral Large 2512,Regular Prompts,Populist-Elitist,400,-0.105,0.3069373328804885,0.015346866644024426
Mistral Large 2512,Boundary Prompts,Populist-Elitist,400,-0.1775,0.4706884522140108,0.023534422610700538
