jurisdiction,language,home_status,n,n_issues,outcome,events,rate,estimate,estimate_pp,outcome_role,sample,canonical_run_id
India,hi,home,416,104,capability_failure,195,0.46875,0.46875,46.875,diagnostic,all delivered languages; descriptive only,canon_019
India,ru,away,1648,416,genuine_refusal,5,0.003033980582524272,0.003033980582524272,0.30339805825242716,primary,all delivered languages; descriptive only,canon_019
India,ru,away,1648,416,capability_failure,1518,0.9211165048543689,0.9211165048543689,92.1116504854369,diagnostic,all delivered languages; descriptive only,canon_019
India,ru,general,414,104,genuine_refusal,1,0.0024154589371980675,0.0024154589371980675,0.24154589371980675,primary,all delivered languages; descriptive only,canon_019
India,ru,general,414,104,capability_failure,384,0.927536231884058,0.927536231884058,92.7536231884058,diagnostic,all delivered languages; descriptive only,canon_019
India,ru,home,415,104,genuine_refusal,3,0.007228915662650603,0.007228915662650603,0.7228915662650602,primary,all delivered languages; descriptive only,canon_019
India,ru,home,415,104,capability_failure,379,0.9132530120481928,0.9132530120481928,91.32530120481928,diagnostic,all delivered languages; descriptive only,canon_019
India,zh,away,1662,416,genuine_refusal,8,0.0048134777376654635,0.0048134777376654635,0.48134777376654636,primary,all delivered languages; descriptive only,canon_019
India,zh,away,1662,416,capability_failure,1250,0.7521058965102286,0.7521058965102286,75.21058965102286,diagnostic,all delivered languages; descriptive only,canon_019
India,zh,general,416,104,genuine_refusal,4,0.009615384615384616,0.009615384615384616,0.9615384615384616,primary,all delivered languages; descriptive only,canon_019
India,zh,general,416,104,capability_failure,291,0.6995192307692307,0.6995192307692307,69.95192307692307,diagnostic,all delivered languages; descriptive only,canon_019
India,zh,home,416,104,genuine_refusal,3,0.007211538461538462,0.007211538461538462,0.7211538461538461,primary,all delivered languages; descriptive only,canon_019
India,zh,home,416,104,capability_failure,292,0.7019230769230769,0.7019230769230769,70.1923076923077,diagnostic,all delivered languages; descriptive only,canon_019
MENA,ar,away,4992,416,genuine_refusal,128,0.02564102564102564,0.02564102564102564,2.564102564102564,primary,all delivered languages; descriptive only,canon_019
MENA,ar,away,4992,416,capability_failure,2417,0.48417467948717946,0.48417467948717946,48.41746794871795,diagnostic,all delivered languages; descriptive only,canon_019
MENA,ar,general,1248,104,genuine_refusal,20,0.016025641025641024,0.016025641025641024,1.6025641025641024,primary,all delivered languages; descriptive only,canon_019
MENA,ar,general,1248,104,capability_failure,567,0.4543269230769231,0.4543269230769231,45.43269230769231,diagnostic,all delivered languages; descriptive only,canon_019
MENA,ar,home,1248,104,genuine_refusal,55,0.044070512820512824,0.044070512820512824,4.407051282051282,primary,all delivered languages; descriptive only,canon_019
MENA,ar,home,1248,104,capability_failure,551,0.44150641025641024,0.44150641025641024,44.15064102564102,diagnostic,all delivered languages; descriptive only,canon_019
