n,outcome,events,rate,scope,rate_pp,model,language,jurisdiction,tier,domain,region_focus,measurement,uncertainty,canonical_run_id
12479,capability_failure,1876,0.15033255869861367,model,15.033255869861367,mistral-large-2512,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,substantive_pivot,5,4.0067313085984454e-4,model,0.040067313085984456,mistral-large-2512,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,genuine_refusal,90,0.007211538461538462,model,0.7211538461538461,nova-lite,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,capability_failure,1367,0.10953525641025641,model,10.95352564102564,nova-lite,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12480,substantive_pivot,31,0.002483974358974359,model,0.24839743589743588,nova-lite,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,genuine_refusal,296,0.023719849346902796,model,2.3719849346902797,qwen3-max,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,capability_failure,2426,0.19440660309319657,model,19.440660309319657,qwen3-max,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12479,substantive_pivot,66,0.005288885327349948,model,0.5288885327349948,qwen3-max,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,genuine_refusal,216,0.01741795016530925,model,1.741795016530925,sarvam-30b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,capability_failure,8172,0.6589791145875332,model,65.89791145875333,sarvam-30b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
12401,substantive_pivot,228,0.018385614063381985,model,1.8385614063381985,sarvam-30b,NA,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44921,genuine_refusal,1429,0.0318114022394871,language,3.18114022394871,NA,en,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44921,capability_failure,1879,0.04182898866899668,language,4.182898866899668,NA,en,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44921,substantive_pivot,838,0.018654972062064512,language,1.8654972062064512,NA,en,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44918,genuine_refusal,1416,0.03152411060154058,language,3.152411060154058,NA,zh,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44918,capability_failure,6258,0.13932053965002894,language,13.932053965002893,NA,zh,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44918,substantive_pivot,1166,0.025958413108330736,language,2.5958413108330736,NA,zh,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44916,genuine_refusal,1183,0.026338053254964824,language,2.6338053254964824,NA,ar,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44916,capability_failure,6150,0.1369222548757681,language,13.69222548757681,NA,ar,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44916,substantive_pivot,943,0.020994745747617775,language,2.0994745747617776,NA,ar,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44909,genuine_refusal,1194,0.02658709835445011,language,2.658709835445011,NA,ru,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44909,capability_failure,8417,0.1874234563227861,language,18.74234563227861,NA,ru,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44909,substantive_pivot,778,0.01732392170834354,language,1.732392170834354,NA,ru,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44880,genuine_refusal,905,0.02016488413547237,language,2.016488413547237,NA,hi,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44880,capability_failure,29859,0.665307486631016,language,66.5307486631016,NA,hi,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
44880,substantive_pivot,686,0.015285204991087344,language,1.5285204991087344,NA,hi,NA,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
62396,genuine_refusal,3237,0.051878325533688055,developer jurisdiction,5.187832553368805,NA,NA,CN,NA,NA,NA,Luna v2.4 wall-to-wall annotation,complete realized-corpus description; no sampling CI; machine-measurement uncertainty is separate,canon_019
