jurisdiction,home_status,n,refusals_strict,refusals_any,rate_strict,rate_any,n_issues,grouping,stratum_value,model,quantity,weighting,estimate,estimate_pp,conf_low,conf_high,conf_low_pp,conf_high_pp,n_home,n_away,estimable,note,sample,outcome,estimand,causal_interpretation,general_handling,canonical_run_id
MENA,away,1664,32,32,0.019230769230769232,0.019230769230769232,416,model,jais-8b,jais-8b,observed_rate,response,0.019230769230769232,1.9230769230769231,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,general,416,10,10,0.02403846153846154,0.02403846153846154,104,model,jais-8b,jais-8b,observed_rate,response,0.02403846153846154,2.403846153846154,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,home,416,17,17,0.040865384615384616,0.040865384615384616,104,model,jais-8b,jais-8b,observed_rate,response,0.040865384615384616,4.086538461538462,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,away,1660,108,115,0.06506024096385542,0.06927710843373494,416,model,sarvam-30b,sarvam-30b,observed_rate,response,0.06506024096385542,6.506024096385541,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,general,414,13,13,0.03140096618357488,0.03140096618357488,104,model,sarvam-30b,sarvam-30b,observed_rate,response,0.03140096618357488,3.140096618357488,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,home,416,31,32,0.07451923076923077,0.07692307692307693,104,model,sarvam-30b,sarvam-30b,observed_rate,response,0.07451923076923077,7.451923076923077,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,away,1664,79,111,0.047475961538461536,0.06670673076923077,416,model,claude-opus-4.5,claude-opus-4.5,observed_rate,response,0.047475961538461536,4.747596153846153,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,general,416,9,10,0.021634615384615384,0.02403846153846154,104,model,claude-opus-4.5,claude-opus-4.5,observed_rate,response,0.021634615384615384,2.1634615384615383,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,home,416,12,16,0.028846153846153848,0.038461538461538464,104,model,claude-opus-4.5,claude-opus-4.5,observed_rate,response,0.028846153846153848,2.8846153846153846,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,away,1663,35,35,0.021046301864101023,0.021046301864101023,416,model,gpt-4o,gpt-4o,observed_rate,response,0.021046301864101023,2.1046301864101022,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
