dimension,field,model,jurisdiction,n,n_issues,share_neg2,share_neg1,share_zero,share_pos1,share_pos2,share_negative,share_positive,share_neutral,signed_mean,conditional,canonical_run_id
Social,social_left_right,mistral-large-2512,EU,624,156,0.03685897435897436,0.13942307692307693,0.7371794871794872,0.07852564102564102,0.008012820512820512,0.1762820512820513,0.08653846153846154,0.7371794871794872,-0.11858974358974358,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,qwen3-max,CN,584,155,0.02054794520547945,0.13184931506849315,0.7722602739726028,0.07363013698630137,0.0017123287671232876,0.1523972602739726,0.07534246575342465,0.7722602739726028,-0.0958904109589041,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Social,social_left_right,sarvam-30b,India,589,156,0.011884550084889643,0.09847198641765705,0.8404074702886248,0.04753820033955857,0.001697792869269949,0.11035653650254669,0.04923599320882852,0.8404074702886248,-0.07130730050933787,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,allam-7b,MENA,512,156,0.001953125,0.12109375,0.84765625,0.029296875,0,0.123046875,0.029296875,0.84765625,-0.095703125,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,claude-opus-4.5,US,606,156,0.0016501650165016502,0.08085808580858085,0.8382838283828383,0.07755775577557755,0.0016501650165016502,0.08250825082508251,0.07920792079207921,0.8382838283828383,-0.0033003300330033004,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,deepseek-chat-v3.1,CN,597,156,0.008375209380234505,0.16750418760469013,0.7654941373534339,0.05862646566164154,0,0.17587939698492464,0.05862646566164154,0.7654941373534339,-0.12562814070351758,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,falcon3-10b,MENA,581,156,0.0068846815834767644,0.0981067125645439,0.8537005163511188,0.04130808950086059,0,0.10499139414802065,0.04130808950086059,0.8537005163511188,-0.07056798623063683,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,gpt-4o,US,612,156,0.008169934640522876,0.09803921568627451,0.8218954248366013,0.0718954248366013,0,0.10620915032679738,0.0718954248366013,0.8218954248366013,-0.042483660130718956,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,gpt-5.1,US,605,156,0.011570247933884297,0.10909090909090909,0.8148760330578513,0.0628099173553719,0.001652892561983471,0.1206611570247934,0.06446280991735537,0.8148760330578513,-0.06611570247933884,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
Authority,authoritarian_libertarian,grok-4.3,US,612,156,0.006535947712418301,0.12418300653594772,0.704248366013072,0.16176470588235295,0.0032679738562091504,0.13071895424836602,0.1650326797385621,0.704248366013072,0.03104575163398693,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006
